contrast,group,event,estimate,ci_low,ci_high,valid_observations
global_generic-minus-no_adapt/K1,corrupted_overall,source_only_fail,0.25583333333333336,0.22833333333333333,0.28418749999999987,1200
global_generic-minus-no_adapt/K1,corrupted_overall,target_only_fail,0.22333333333333333,0.19833333333333333,0.25,1200
global_generic-minus-no_adapt/K1,corrupted_overall,both_any_fail,0.13916666666666666,0.11916666666666667,0.1591874999999999,1200
global_generic-minus-no_adapt/K1,corrupted_overall,both_geometry,0.046063651591289785,0.035175879396984924,0.0575,1194
global_generic-minus-no_adapt/K1,corrupted_overall,both_class_score,0.046063651591289785,0.03367003367003367,0.059166666666666666,1194
global_generic-minus-no_adapt/K1,corrupted_overall,both_false_positives,0.008333333333333333,0.0033333333333333335,0.014166666666666666,1200
global_generic-minus-no_adapt/K1,corrupted_overall,both_duplicates,0.0016666666666666668,0.0,0.004166666666666667,1200
global_generic-minus-no_adapt/K1,gamma_s1,source_only_fail,0.25,0.195,0.31,200
global_generic-minus-no_adapt/K1,gamma_s1,target_only_fail,0.25,0.19,0.31,200
global_generic-minus-no_adapt/K1,gamma_s1,both_any_fail,0.1,0.06,0.145,200
global_generic-minus-no_adapt/K1,gamma_s1,both_geometry,0.035175879396984924,0.015,0.06060606060606061,199
global_generic-minus-no_adapt/K1,gamma_s1,both_class_score,0.02512562814070352,0.005049870564945942,0.046020408163264755,199
global_generic-minus-no_adapt/K1,gamma_s1,both_false_positives,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,gamma_s1,both_duplicates,0.0,0.0,0.0,200
global_generic-minus-no_adapt/K1,gamma_s2,source_only_fail,0.315,0.255,0.38,200
global_generic-minus-no_adapt/K1,gamma_s2,target_only_fail,0.125,0.08,0.175,200
global_generic-minus-no_adapt/K1,gamma_s2,both_any_fail,0.17,0.12,0.225,200
global_generic-minus-no_adapt/K1,gamma_s2,both_geometry,0.06030150753768844,0.03,0.09547738693467336,199
global_generic-minus-no_adapt/K1,gamma_s2,both_class_score,0.06030150753768844,0.03,0.095,199
global_generic-minus-no_adapt/K1,gamma_s2,both_false_positives,0.02,0.005,0.04,200
global_generic-minus-no_adapt/K1,gamma_s2,both_duplicates,0.0,0.0,0.0,200
global_generic-minus-no_adapt/K1,contrast_s1,source_only_fail,0.235,0.175,0.295,200
global_generic-minus-no_adapt/K1,contrast_s1,target_only_fail,0.255,0.195,0.32,200
global_generic-minus-no_adapt/K1,contrast_s1,both_any_fail,0.135,0.09,0.185,200
global_generic-minus-no_adapt/K1,contrast_s1,both_geometry,0.035175879396984924,0.015,0.0603091213643977,199
global_generic-minus-no_adapt/K1,contrast_s1,both_class_score,0.04020100502512563,0.01507537688442211,0.07035175879396985,199
global_generic-minus-no_adapt/K1,contrast_s1,both_false_positives,0.01,0.0,0.025,200
global_generic-minus-no_adapt/K1,contrast_s1,both_duplicates,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,contrast_s2,source_only_fail,0.26,0.2,0.325,200
global_generic-minus-no_adapt/K1,contrast_s2,target_only_fail,0.245,0.185,0.31,200
global_generic-minus-no_adapt/K1,contrast_s2,both_any_fail,0.115,0.07,0.16,200
global_generic-minus-no_adapt/K1,contrast_s2,both_geometry,0.03015075376884422,0.01,0.05555555555555555,199
global_generic-minus-no_adapt/K1,contrast_s2,both_class_score,0.020100502512562814,0.005,0.04020100502512563,199
global_generic-minus-no_adapt/K1,contrast_s2,both_false_positives,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,contrast_s2,both_duplicates,0.0,0.0,0.0,200
global_generic-minus-no_adapt/K1,color_cast_s1,source_only_fail,0.26,0.2,0.325,200
global_generic-minus-no_adapt/K1,color_cast_s1,target_only_fail,0.205,0.15,0.26,200
global_generic-minus-no_adapt/K1,color_cast_s1,both_any_fail,0.165,0.11487500000000002,0.22,200
global_generic-minus-no_adapt/K1,color_cast_s1,both_geometry,0.05527638190954774,0.02512562814070352,0.09045226130653267,199
global_generic-minus-no_adapt/K1,color_cast_s1,both_class_score,0.07035175879396985,0.03535353535353535,0.11,199
global_generic-minus-no_adapt/K1,color_cast_s1,both_false_positives,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,color_cast_s1,both_duplicates,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,color_cast_s2,source_only_fail,0.215,0.155,0.275,200
global_generic-minus-no_adapt/K1,color_cast_s2,target_only_fail,0.26,0.205,0.3151249999999993,200
global_generic-minus-no_adapt/K1,color_cast_s2,both_any_fail,0.15,0.105,0.2,200
global_generic-minus-no_adapt/K1,color_cast_s2,both_geometry,0.06030150753768844,0.03,0.09547738693467336,199
global_generic-minus-no_adapt/K1,color_cast_s2,both_class_score,0.06030150753768844,0.03,0.09547738693467336,199
global_generic-minus-no_adapt/K1,color_cast_s2,both_false_positives,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,color_cast_s2,both_duplicates,0.0,0.0,0.0,200
global_generic-minus-no_adapt/K1,clean_s0,source_only_fail,0.275,0.215,0.34,200
global_generic-minus-no_adapt/K1,clean_s0,target_only_fail,0.185,0.13,0.24,200
global_generic-minus-no_adapt/K1,clean_s0,both_any_fail,0.155,0.105,0.205,200
global_generic-minus-no_adapt/K1,clean_s0,both_geometry,0.07035175879396985,0.03552850843459981,0.11,199
global_generic-minus-no_adapt/K1,clean_s0,both_class_score,0.05527638190954774,0.02512562814070352,0.09,199
global_generic-minus-no_adapt/K1,clean_s0,both_false_positives,0.015,0.0,0.035,200
global_generic-minus-no_adapt/K1,clean_s0,both_duplicates,0.005,0.0,0.015,200
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",source_only_fail,0.2826855123674912,0.22221274175199088,0.3381845217979047,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",target_only_fail,0.21201413427561838,0.15893648201181315,0.27106227106227104,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_any_fail,0.13074204946996468,0.09029979595040025,0.17347293083900225,283
global_generic-minus-no_adapt/K1,"corrupted_overall ratio [0,1)",both_geometry,0.04332129963898917,0.02027027027027027,0.06875189777327935,277
