contrast,group,failure,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,corrupted_overall,geometry,loss_good_proxy_bad,0.24958123953098826,0.225,0.27417276936026935,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,geometry,given_loss_good,0.5008403361344538,0.4610252888651207,0.5405405405405406,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score,loss_good_proxy_bad,0.24371859296482412,0.2174090524534687,0.26768501598903605,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,class_score,given_loss_good,0.4890756302521008,0.4440516978833562,0.5300171526586621,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,false_positives,loss_good_proxy_bad,0.13333333333333333,0.11497916666666667,0.15416666666666667,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,false_positives,given_loss_good,0.26666666666666666,0.2288426616915423,0.30479760835391867,600
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,loss_good_proxy_bad,0.035,0.025833333333333333,0.04583333333333333,1200
source/global_generic-minus-no_adapt/K1,corrupted_overall,duplicates,given_loss_good,0.07,0.05089957740491611,0.09197374268572697,600
source/global_generic-minus-no_adapt/K1,gamma_s1,geometry,loss_good_proxy_bad,0.24120603015075376,0.18592964824120603,0.3015075376884422,199
source/global_generic-minus-no_adapt/K1,gamma_s1,geometry,given_loss_good,0.5714285714285714,0.46987951807228917,0.6760666942833471,84
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score,loss_good_proxy_bad,0.23115577889447236,0.17169559920816202,0.2914572864321608,199
source/global_generic-minus-no_adapt/K1,gamma_s1,class_score,given_loss_good,0.5476190476190477,0.43529411764705883,0.6521739130434783,84
source/global_generic-minus-no_adapt/K1,gamma_s1,false_positives,loss_good_proxy_bad,0.11,0.07,0.155,200
source/global_generic-minus-no_adapt/K1,gamma_s1,false_positives,given_loss_good,0.2619047619047619,0.16494238932686475,0.3625,84
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,loss_good_proxy_bad,0.01,0.0,0.025,200
source/global_generic-minus-no_adapt/K1,gamma_s1,duplicates,given_loss_good,0.023809523809523808,0.0,0.06061529933481148,84
source/global_generic-minus-no_adapt/K1,gamma_s2,geometry,loss_good_proxy_bad,0.32160804020100503,0.26497398477157363,0.385,199
source/global_generic-minus-no_adapt/K1,gamma_s2,geometry,given_loss_good,0.5714285714285714,0.48330357142857144,0.6635535259133389,112
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score,loss_good_proxy_bad,0.3165829145728643,0.25252525252525254,0.38071065989847713,199
source/global_generic-minus-no_adapt/K1,gamma_s2,class_score,given_loss_good,0.5625,0.47058823529411764,0.6551724137931034,112
source/global_generic-minus-no_adapt/K1,gamma_s2,false_positives,loss_good_proxy_bad,0.16,0.11,0.21,200
source/global_generic-minus-no_adapt/K1,gamma_s2,false_positives,given_loss_good,0.2831858407079646,0.2032520325203252,0.3652215719063545,113
source/global_generic-minus-no_adapt/K1,gamma_s2,duplicates,loss_good_proxy_bad,0.045,0.02,0.075,200
source/global_generic-minus-no_adapt/K1,gamma_s2,duplicates,given_loss_good,0.07964601769911504,0.034482758620689655,0.13393087260677466,113
source/global_generic-minus-no_adapt/K1,contrast_s1,geometry,loss_good_proxy_bad,0.21608040201005024,0.16078391959798996,0.27,199
source/global_generic-minus-no_adapt/K1,contrast_s1,geometry,given_loss_good,0.43434343434343436,0.339614218328841,0.5257731958762887,99
source/global_generic-minus-no_adapt/K1,contrast_s1,class_score,loss_good_proxy_bad,0.22613065326633167,0.1699166666666667,0.285,199
source/global_generic-minus-no_adapt/K1,contrast_s1,class_score,given_loss_good,0.45454545454545453,0.356432798452259,0.5533980582524272,99
source/global_generic-minus-no_adapt/K1,contrast_s1,false_positives,loss_good_proxy_bad,0.135,0.09,0.185,200
