contrast,group,proxy,statistic,estimate,ci_low,ci_high,valid_observations
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,mean_delta,0.0010861256036502976,-0.0006909602090769856,0.0028692142911304072,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,loss_good_proxy_good,0.011725293132328308,0.005833333333333334,0.018518518518518517,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,loss_good_proxy_bad,0.011725293132328308,0.005862646566164154,0.018335636515912884,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,loss_bad_proxy_good,0.010050251256281407,0.004981837606837608,0.016666666666666666,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,loss_bad_proxy_bad,0.006700167504187605,0.002512562814070352,0.011666666666666667,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,ties,0.9597989949748744,0.945,0.9723618090452262,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall50,proxy_bad_given_loss_good,0.023529411764705882,0.011965301478953357,0.037037037037037035,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,mean_delta,-0.0005792912524286959,-0.004301615018100758,0.0029622317778477195,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,loss_good_proxy_good,0.019262981574539362,0.011666666666666667,0.028333333333333332,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,loss_good_proxy_bad,0.015912897822445562,0.009166666666666667,0.024166666666666666,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,loss_bad_proxy_good,0.02512562814070352,0.015912897822445562,0.035175879396984924,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,loss_bad_proxy_bad,0.03015075376884422,0.02,0.041245791245791245,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,ties,0.9095477386934674,0.8894472361809045,0.9288107202680067,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,recall75,proxy_bad_given_loss_good,0.031932773109243695,0.018211167971101744,0.04762094026799908,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,mean_delta,4.9641041987743545e-05,-0.0010645640140369559,0.0012737797830496853,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,loss_good_proxy_good,0.25041876046901174,0.22529313232830822,0.2758333333333333,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,loss_good_proxy_bad,0.24623115577889448,0.2219430485762144,0.271356783919598,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,loss_bad_proxy_good,0.23869346733668342,0.21548821548821548,0.2625,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,loss_bad_proxy_bad,0.2629815745393635,0.23905723905723905,0.2889447236180904,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,ties,0.0016750418760469012,0.0,0.004208754208754209,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_mean,proxy_bad_given_loss_good,0.49411764705882355,0.45424441061900556,0.534573241444614,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,mean_delta,7.836973667127057e-05,-0.0014506105382951916,0.0015384972018568704,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,loss_good_proxy_good,0.24204355108877723,0.21717171717171718,0.26851851851851855,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,loss_good_proxy_bad,0.24874371859296482,0.22248607621440536,0.27417276936026935,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,loss_bad_proxy_good,0.23618090452261306,0.21272456030150752,0.2617845117845118,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,loss_bad_proxy_bad,0.25711892797319935,0.2325,0.2814070351758794,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,ties,0.015912897822445562,0.0041876046901172526,0.030992187367815487,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,best_iou_median,proxy_bad_given_loss_good,0.4991596638655462,0.4554749160845505,0.5396391317213027,595
source/global_generic-minus-no_adapt/K1,corrupted_overall,agnostic_iou_mean,mean_delta,0.0006837866301943427,1.4929197729239558e-05,0.0014129218914643196,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,agnostic_iou_mean,loss_good_proxy_good,0.2562814070351759,0.23166666666666666,0.281986531986532,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,agnostic_iou_mean,loss_good_proxy_bad,0.24204355108877723,0.21742808798646363,0.2663316582914573,1194
source/global_generic-minus-no_adapt/K1,corrupted_overall,agnostic_iou_mean,loss_bad_proxy_good,0.23450586264656617,0.21105527638190955,0.25916666666666666,1194
