detector,case,variant,k,iou,tp_count,mean,p10,p25,median,p75,p90
source,gamma_s1,no_adapt,0,50,1220,0.7720831587147273,0.23641285300254822,0.6030734479427338,0.9309202134609222,0.9912503212690353,0.9982296764850617
source,gamma_s1,no_adapt,0,75,836,0.8405159554894318,0.38844722509384155,0.807468444108963,0.9732056856155396,0.9950396418571472,0.9988162219524384
source,gamma_s1,global_generic,1,50,1218,0.7733049029040904,0.2345511183142662,0.6100625693798065,0.9310995936393738,0.9913326799869537,0.9982619345188141
source,gamma_s1,global_generic,1,75,827,0.8432418139833854,0.39200222492218023,0.8133603632450104,0.9732235670089722,0.9951496422290802,0.998840606212616
source,gamma_s1,global_generic,3,50,1222,0.7707086671326682,0.2336306393146515,0.6063760668039322,0.9291959404945374,0.9913187474012375,0.9982917368412018
source,gamma_s1,global_generic,3,75,816,0.841513855455845,0.3788588047027588,0.8184195160865784,0.9747613966464996,0.9952197819948196,0.9988476037979126
source,gamma_s1,det_pseudo,1,50,1216,0.7783735544868059,0.23877741396427155,0.639067068696022,0.9329133033752441,0.9912833720445633,0.998272716999054
source,gamma_s1,det_pseudo,1,75,830,0.8457053748105304,0.4100632846355439,0.8248623162508011,0.9732270538806915,0.9951346814632416,0.9988149106502533
source,gamma_s1,det_pseudo,3,50,1223,0.7729905688296014,0.19390479624271392,0.6249018609523773,0.9325588345527649,0.9909690022468567,0.9982248544692993
source,gamma_s1,det_pseudo,3,75,835,0.8402343057096004,0.3650621592998506,0.8208711445331573,0.9738410115242004,0.9948536455631256,0.9987915873527526
source,gamma_s1,det_pseudo_clip_radius,1,50,1217,0.7758288373076337,0.2433000594377518,0.6205350756645203,0.9321901798248291,0.9912863373756409,0.9983064889907837
source,gamma_s1,det_pseudo_clip_radius,1,75,830,0.84429186673229,0.40332823395729067,0.8134515136480331,0.9732473790645599,0.995087742805481,0.998816043138504
source,gamma_s1,det_pseudo_clip_radius,3,50,1216,0.7779756301744399,0.24406253546476364,0.6441505402326584,0.9330735504627228,0.991375520825386,0.9982718229293823
source,gamma_s1,det_pseudo_clip_radius,3,75,829,0.8394437459296354,0.3838535130023957,0.8079457879066467,0.9727336764335632,0.9950637221336365,0.9988478899002076
source,gamma_s2,no_adapt,0,50,1177,0.7707725992092361,0.20483824014663699,0.6313374638557434,0.9329425692558289,0.9907801747322083,0.9980364203453064
source,gamma_s2,no_adapt,0,75,800,0.8327316026156768,0.3812789767980576,0.7778911143541336,0.9723420441150665,0.9946469068527222,0.9987747371196747
source,gamma_s2,global_generic,1,50,1174,0.7686670617163943,0.20387281924486164,0.6241742372512817,0.9344911575317383,0.9908042252063751,0.9980512022972107
source,gamma_s2,global_generic,1,75,801,0.8297185423399104,0.34394371509552,0.7791310548782349,0.9713478684425354,0.9944326281547546,0.9988023042678833
source,gamma_s2,global_generic,3,50,1172,0.7696344239109613,0.20622338801622392,0.6263563632965088,0.9310170412063599,0.990710973739624,0.9980930209159851
source,gamma_s2,global_generic,3,75,795,0.8325653459103602,0.3977985560894013,0.7858841121196747,0.9712311625480652,0.9944908022880554,0.9987720370292663
source,gamma_s2,det_pseudo,1,50,1172,0.7712604445389412,0.1936674311757088,0.6353966295719147,0.9348348379135132,0.9908172339200974,0.9980444192886353
source,gamma_s2,det_pseudo,1,75,791,0.8383450573251386,0.3838732838630676,0.804710179567337,0.9743952751159668,0.9946439266204834,0.9988162517547607
source,gamma_s2,det_pseudo,3,50,1181,0.7733750079082645,0.2042999416589737,0.6501244306564331,0.9325194954872131,0.990791916847229,0.9980182647705078
source,gamma_s2,det_pseudo,3,75,795,0.8347267181805844,0.3553536176681519,0.8083517849445343,0.9725589752197266,0.9948832094669342,0.9988235354423523
source,gamma_s2,det_pseudo_clip_radius,1,50,1175,0.7708259796906025,0.19887765645980834,0.6341316103935242,0.9329654574394226,0.9908603131771088,0.9980423450469971
source,gamma_s2,det_pseudo_clip_radius,1,75,797,0.834706619891386,0.3726516723632813,0.792985200881958,0.9725378751754761,0.9947040677070618,0.9988020181655883
source,gamma_s2,det_pseudo_clip_radius,3,50,1175,0.7700897036524529,0.18195811212062835,0.6376299858093262,0.9347829818725586,0.9908109903335571,0.9980795979499817
source,gamma_s2,det_pseudo_clip_radius,3,75,807,0.8293589335327328,0.30907318592071537,0.7862831652164459,0.9712797403335571,0.9947262406349182,0.9987729907035827
source,contrast_s1,no_adapt,0,50,1185,0.7624292274850581,0.20354328453540801,0.5846267342567444,0.9329537749290466,0.9909104704856873,0.9982534527778626
source,contrast_s1,no_adapt,0,75,804,0.8275020616453382,0.27666817009449013,0.8108123987913132,0.9723524451255798,0.9948516935110092,0.9989226818084717
source,contrast_s1,global_generic,1,50,1185,0.762830246054422,0.2040153205394745,0.5993718504905701,0.933643639087677,0.9908870458602905,0.9982450246810913
source,contrast_s1,global_generic,1,75,809,0.827269840709248,0.2966151416301728,0.8065919876098633,0.9717690944671631,0.9948858618736267,0.9989021182060241
source,contrast_s1,global_generic,3,50,1185,0.7628559338612647,0.20618912577629092,0.59184330701828,0.9333534836769104,0.990869402885437,0.9981781482696533
source,contrast_s1,global_generic,3,75,812,0.8243530550971627,0.27319522798061374,0.7995008081197739,0.9711818397045135,0.9948872923851013,0.9989220201969147
source,contrast_s1,det_pseudo,1,50,1184,0.766127898011709,0.20494427978992463,0.6091589480638504,0.9371275901794434,0.9908729642629623,0.9982859849929809
source,contrast_s1,det_pseudo,1,75,800,0.8354422869347036,0.3342384964227677,0.8172387331724167,0.9719088077545166,0.9949450045824051,0.9989124119281769
source,contrast_s1,det_pseudo,3,50,1191,0.7676809069479242,0.20868773758411407,0.6113768815994263,0.9393240213394165,0.990800678730011,0.9981483221054077
source,contrast_s1,det_pseudo,3,75,801,0.8376442232214556,0.33350807428359985,0.8213226199150085,0.971261739730835,0.9948438405990601,0.9989039897918701
source,contrast_s1,det_pseudo_clip_radius,1,50,1187,0.7628387352129995,0.20276609659194947,0.5939629971981049,0.9339672327041626,0.9909194111824036,0.9982577443122864
source,contrast_s1,det_pseudo_clip_radius,1,75,811,0.8254108669468272,0.28871187567710876,0.8020460307598114,0.9713312387466431,0.9948391020298004,0.9989481568336487
source,contrast_s1,det_pseudo_clip_radius,3,50,1188,0.7654865430228989,0.2039267435669899,0.6116727143526077,0.9380233287811279,0.9909695386886597,0.9982149660587311
source,contrast_s1,det_pseudo_clip_radius,3,75,799,0.8343895495273592,0.31444816589355473,0.8173218071460724,0.9733938574790955,0.9950495660305023,0.9989577174186707
source,contrast_s2,no_adapt,0,50,1066,0.7359370997710255,0.1512465998530388,0.5100342631340027,0.9162940979003906,0.9877072274684906,0.9980997145175934
source,contrast_s2,no_adapt,0,75,719,0.8034334932978527,0.2486270636320114,0.7198273837566376,0.9587773084640503,0.9941365420818329,0.9987809419631958
source,contrast_s2,global_generic,1,50,1069,0.7351542925749626,0.15291636288166047,0.5087388753890991,0.9180298447608948,0.9876584410667419,0.998074209690094
source,contrast_s2,global_generic,1,75,718,0.8034872580423411,0.24986783862113957,0.7257102727890015,0.9596783816814423,0.9941071271896362,0.9987842321395874
source,contrast_s2,global_generic,3,50,1072,0.7324788590142531,0.14546476900577546,0.5041843205690384,0.9174372255802155,0.9873607307672501,0.9980972647666931
source,contrast_s2,global_generic,3,75,722,0.8014596277832408,0.23156258165836335,0.7211870402097702,0.959378719329834,0.9940198361873627,0.9987858772277832
source,contrast_s2,det_pseudo,1,50,1066,0.7452775781579302,0.15063481032848358,0.5480772703886032,0.9228585362434387,0.98808853328228,0.9980803728103638
source,contrast_s2,det_pseudo,1,75,717,0.8150712395842853,0.2412086606025696,0.7601537704467773,0.9605928659439087,0.9939490556716919,0.9988057494163514
source,contrast_s2,det_pseudo,3,50,1068,0.7469888203515765,0.15410365611314775,0.5394955277442932,0.9255124628543854,0.9881659746170044,0.9981831014156342
source,contrast_s2,det_pseudo,3,75,730,0.8082353711077204,0.21050872653722763,0.7616022974252701,0.9587689340114594,0.9938627183437347,0.998836773633957
source,contrast_s2,det_pseudo_clip_radius,1,50,1065,0.7390101684196174,0.1564630299806595,0.5184706449508667,0.9189631342887878,0.9879096746444702,0.9980698585510254
source,contrast_s2,det_pseudo_clip_radius,1,75,723,0.8019063381393173,0.23948423862457274,0.7189083695411682,0.9589137434959412,0.9940214455127716,0.9987823367118835
source,contrast_s2,det_pseudo_clip_radius,3,50,1071,0.7396100600407459,0.15007714927196503,0.5132350027561188,0.9205971360206604,0.9880366623401642,0.9980731010437012
source,contrast_s2,det_pseudo_clip_radius,3,75,726,0.8058106169135364,0.22879000008106232,0.7370051443576813,0.9587751626968384,0.9939835071563721,0.9987782835960388
source,color_cast_s1,no_adapt,0,50,1210,0.7798854631825912,0.2362985283136368,0.6352121829986572,0.937870055437088,0.9913970977067947,0.9982168197631835
source,color_cast_s1,no_adapt,0,75,814,0.8416206704759261,0.3781984090805054,0.8128291964530945,0.9756075143814087,0.9953092634677887,0.9988903760910034
source,color_cast_s1,global_generic,1,50,1215,0.7786971409839613,0.23369232714176177,0.6392095386981964,0.9370405077934265,0.9915037453174591,0.9982154250144959
source,color_cast_s1,global_generic,1,75,814,0.8404760011391719,0.3741070181131363,0.8131761997938156,0.9753186106681824,0.9953894019126892,0.9988887786865235
source,color_cast_s1,global_generic,3,50,1214,0.7789993782142635,0.23270089626312257,0.6479265689849854,0.9371203780174255,0.9915071576833725,0.9982233822345734
source,color_cast_s1,global_generic,3,75,815,0.8398866658744637,0.37636858224868774,0.8142832517623901,0.9754374623298645,0.9954546093940735,0.9988927960395813
source,color_cast_s1,det_pseudo,1,50,1215,0.7829005588259962,0.2342454344034195,0.67047318816185,0.9389384984970093,0.9915910065174103,0.9982645750045777
source,color_cast_s1,det_pseudo,1,75,835,0.8363444351284447,0.36929243206977846,0.8019327223300934,0.9741517901420593,0.9950398504734039,0.9988397002220154
source,color_cast_s1,det_pseudo,3,50,1212,0.7880728644912097,0.2507631480693817,0.6728238463401794,0.9396431744098663,0.9916225224733353,0.9981735289096832
source,color_cast_s1,det_pseudo,3,75,822,0.8481263933191189,0.4167745649814606,0.8223775029182434,0.9757493138313293,0.995256319642067,0.9988478720188141
source,color_cast_s1,det_pseudo_clip_radius,1,50,1212,0.781173367225396,0.23835228681564333,0.6512963324785233,0.9380857050418854,0.9914227575063705,0.9982253670692444
source,color_cast_s1,det_pseudo_clip_radius,1,75,816,0.8410869271530971,0.3793324679136276,0.8107315599918365,0.9753777384757996,0.9954246878623962,0.9988748729228973
source,color_cast_s1,det_pseudo_clip_radius,3,50,1210,0.784075830879906,0.24560590088367462,0.6643478721380234,0.939243346452713,0.9914848059415817,0.9982389032840728
source,color_cast_s1,det_pseudo_clip_radius,3,75,824,0.838603826800307,0.3766890913248062,0.8029886931180954,0.9752592742443085,0.9952847510576248,0.9988671720027924
source,color_cast_s2,no_adapt,0,50,1184,0.7739829297234128,0.228581303358078,0.6168541014194489,0.9363270699977875,0.9913175106048584,0.9983678102493286
source,color_cast_s2,no_adapt,0,75,792,0.8394338010170619,0.3692142575979233,0.819194570183754,0.975362092256546,0.9953849017620087,0.9989690899848938
