episode,cos_fo_exact,cos_exact_fd,sign_agreement,norm_ratio,trajectory_max_abs_difference,image_max_abs_difference,exact_fd_max_abs_difference,saturation_rate,all_gradients_finite
0,0.9987003111425238,0.9999999999999999,1.0,1.0127883547733691,0.0,0.0,5.418153772862588e-12,0.0,True
1,0.9980322018434048,1.0,1.0,1.0052258502605278,0.0,0.0,5.7693017030402416e-12,0.0,True
2,0.9974880536605817,1.0,1.0,1.005234316003174,0.0,0.0,5.25469251444477e-12,0.0,True
3,0.9981027432747178,1.0,1.0,1.0053163612643092,0.0,0.0,5.141411602016532e-12,0.0,True
4,0.9976360910558938,1.0,1.0,1.005321126742682,0.0,0.0,3.548522586882541e-12,0.0,True
5,0.9974981739684075,1.0,1.0,1.011927006511927,0.0,0.0,3.385833280411532e-12,0.0,True
6,0.9978153750489926,0.9999999999999999,1.0,1.0093095415669964,0.0,0.0,3.6099595535077356e-12,0.0,True
7,0.9979522521701929,1.0,1.0,1.017309929809905,0.0,0.0,3.4487083327983115e-12,0.0,True
8,0.9984419773762332,1.0,1.0,1.026804282895799,0.0,0.0,3.6340340459073417e-12,0.0,True
9,0.9987118576055445,1.0,1.0,1.0253580757356675,0.0,0.0,3.683093760531442e-12,0.0,True
10,0.999203421350277,0.9999999999999998,1.0,1.0312092366759205,0.0,0.0,3.0095925751538743e-12,0.0,True
11,0.9996018964113158,1.0,1.0,1.0335924615971144,0.0,0.0,3.857703165157517e-12,0.0,True
