episode	image_id	case	block	candidate	supports	mask_area	loss	per_object_min	per_object_median	per_object_max	S_c	S_global	Delta_global	S_obj_current	Delta_obj	cosine_candidate_task	zero_gradient	near_zero_gradient	material_near_zero	norm_candidate	norm_task_object	norm_task_global	norm_pseudo_object	norm_pseudo_global
0	482625	clean_s0	0	roi_feat_eq	1	0.17312132352941176	0.00042945146560668945	0.00042945146560668945	0.00042945146560668945	0.00042945146560668945	-0.004941594825951448	-0.007925076072275997	0.002983481246324549	0.004338948557784725	-0.009280543383736174	-0.819314763256797	False	False	False	0.002219914131261579	0.006031375302618145	0.01057831825754733	9.31896809082025e-05	6.369116143760914e-05
0	482625	clean_s0	0	roi_logit_eq	1	0.17312132352941176	4.415402443669336e-08	4.415402443669336e-08	4.415402443669336e-08	4.415402443669336e-08	0.003959698931853418	-0.007925076072275997	0.011884775004129416	0.004338948557784725	-0.0003792496259313067	0.6565174355781704	False	False	False	9.622992955621302e-07	0.006031375302618145	0.01057831825754733	9.31896809082025e-05	6.369116143760914e-05
1	482625	gamma_s2	0	roi_feat_eq	1	0.17632720588235296	0.00039380788803100586	0.00039380788803100586	0.00039380788803100586	0.00039380788803100586	-0.0087325899013397	-0.01077791474921002	0.0020453248478703202	-0.008751585773067148	1.8995871727447988e-05	-0.8971000341841411	False	False	False	0.0009505468526710893	0.009734243203399696	0.012029888536855899	0.00012869691905497107	9.038934409127417e-05
1	482625	gamma_s2	0	roi_logit_eq	1	0.17632720588235296	3.906735202008349e-08	3.906735202008349e-08	3.906735202008349e-08	3.906735202008349e-08	0.00639608679144829	-0.01077791474921002	0.01717400154065831	-0.008751585773067148	0.015147672564515439	0.6570717518138546	False	False	False	6.773512563452524e-07	0.009734243203399696	0.012029888536855899	0.00012869691905497107	9.038934409127417e-05
2	286692	clean_s0	0	roi_feat_eq	1	0.6043880208333333	0.0022856593132019043	0.0022856593132019043	0.0022856593132019043	0.0022856593132019043	0.05531670583009101	0.006607802851640373	0.04870890297845064	0.023740938605537273	0.03157576722455374	0.9028071369780208	False	False	False	0.005784956873784329	0.061271896924536474	0.030228799200141016	0.0020973708977125595	0.00203937340929282
2	286692	clean_s0	0	roi_logit_eq	1	0.6043880208333333	1.7734980701789027e-06	1.7734980701789027e-06	1.7734980701789027e-06	1.7734980701789027e-06	-0.008944413089695926	0.006607802851640373	-0.015552215941336298	0.023740938605537273	-0.0326853516952332	-0.14597905585283966	False	False	False	1.5591825468387553e-05	0.061271896924536474	0.030228799200141016	0.0020973708977125595	0.00203937340929282
3	286692	contrast_s2	0	roi_feat_eq	1	0.56623046875	0.0025238394737243652	0.0025238394737243652	0.0025238394737243652	0.0025238394737243652	0.027532439024412277	0.018822932016273195	0.008709507008139081	0.020282872160071314	0.007249566864340962	0.7013837447150203	False	False	False	0.00735993105034245	0.03925445839829074	0.0484610119176095	0.030520434388313467	0.02818714344694426
3	286692	contrast_s2	0	roi_logit_eq	1	0.56623046875	1.466865069232881e-05	1.466865069232881e-05	1.466865069232881e-05	1.466865069232881e-05	0.01982992322590919	0.018822932016273195	0.0010069912096359948	0.020282872160071314	-0.0004529489341621243	0.5051635937544622	False	False	False	0.0004009577832783933	0.03925445839829074	0.0484610119176095	0.030520434388313467	0.02818714344694426
4	90914	clean_s0	0	roi_feat_eq	4	0.22427180913348946	0.030453994870185852	0.01230776309967041	0.023705750703811646	0.06209671497344971	0.015567439980272879	-0.12544032887866613	0.141007768858939	-0.2733361510926499	0.2889035910729228	0.05261827261136744	False	False	False	0.04086109489328974	0.29585615809992843	0.13942756704684084	0.01180739282838797	0.006848047084518178
4	90914	clean_s0	0	roi_logit_eq	4	0.22427180913348946	6.06196845183149e-05	2.325846025996725e-06	2.0815104107896332e-05	0.00019852268451359123	0.09433486058871864	-0.12544032887866613	0.21977518946738478	-0.2733361510926499	0.36767101168136856	0.31885380132722163	False	False	False	0.0013973256032313978	0.29585615809992843	0.13942756704684084	0.01180739282838797	0.006848047084518178
5	90914	color_cast_s2	0	roi_feat_eq	4	0.21807303864168617	0.027347445487976074	0.008358478546142578	0.022685468196868896	0.055660367012023926	0.027811931026291245	-0.0017410005480898265	0.02955293157438107	0.02408003861532499	0.0037318924109662546	0.202311575660474	False	False	False	0.03824171067638272	0.13747078453727934	0.038065616745404936	0.008168194707822207	0.004978933185699477
5	90914	color_cast_s2	0	roi_logit_eq	4	0.21807303864168617	5.292307469062507e-05	1.8130580770048255e-07	2.9122056275809882e-05	0.0001532668829895556	0.08744425974060671	-0.0017410005480898265	0.08918526028869654	0.02408003861532499	0.06336422112528173	0.6360934088276229	False	False	False	0.0004165619663426263	0.13747078453727934	0.038065616745404936	0.008168194707822207	0.004978933185699477
6	151115	clean_s0	0	roi_feat_eq	2	0.36562500000000003	0.007965147495269775	0.0028579235076904297	0.007965147495269775	0.013072371482849121	0.055189773908634145	-0.06309454058425422	0.11828431449288837	-0.06578697250950698	0.12097674641814113	0.8330524565102819	False	False	False	0.006768337780561215	0.06625005842727154	0.0635063190249387	0.5458603234576785	0.5763976274982217
6	151115	clean_s0	0	roi_logit_eq	2	0.36562500000000003	0.0007026878884062171	2.1250200177291845e-07	0.0007026879104259365	0.0014051633188501	-0.028141078005573077	-0.06309454058425422	0.03495346257868114	-0.06578697250950698	0.0376458945039339	-0.4247706142146776	False	False	False	0.006488111792791124	0.06625005842727154	0.0635063190249387	0.5458603234576785	0.5763976274982217
7	151115	gamma_s2	0	roi_feat_eq	1	0.20298177083333335	0.0030353665351867676	0.0030353665351867676	0.0030353665351867676	0.0030353665351867676	0.00580475318426969	-0.007638202709915972	0.013442955894185663	0.006161992704794894	-0.0003572395205252042	0.7330892089598436	False	False	False	0.0062261796138814544	0.007918208472115119	0.016705563057402905	5.0898684721149917e-05	4.484840156577904e-05
7	151115	gamma_s2	0	roi_logit_eq	1	0.20298177083333335	3.785716842230613e-07	3.785716842230613e-07	3.785716842230613e-07	3.785716842230613e-07	0.0033955875570220373	-0.007638202709915972	0.011033790266938008	0.006161992704794894	-0.002766405147772857	0.4288329787286168	False	False	False	2.4816661869891713e-06	0.007918208472115119	0.016705563057402905	5.0898684721149917e-05	4.484840156577904e-05
8	513616	clean_s0	1	roi_feat_eq	13	0.04002854215456674	0.0785096064209938	0.005625545978546143	0.06974577903747559	0.17324519157409668	0.3918133878304612	-0.07822123818930132	0.47003462601976254	0.6680244591185401	-0.2762110712880789	0.4887434375269635	False	False	False	0.07303556305086945	0.8016749847699183	0.16714892252221766	1.3610568777189367	0.37433844146560336
8	513616	clean_s0	1	roi_logit_eq	13	0.04002854215456674	0.01603475958108902	5.02494867760106e-06	0.0029809321276843548	0.10284197330474854	-0.7206023747771014	-0.07822123818930132	-0.6423811365878	0.6680244591185401	-1.3886268338956416	-0.8988709744912408	False	False	False	0.08697042296299232	0.8016749847699183	0.16714892252221766	1.3610568777189367	0.37433844146560336
9	513616	contrast_s2	1	roi_feat_eq	6	0.03201478337236534	0.05488581582903862	0.003618001937866211	0.04172194004058838	0.1337900161743164	1.6130607885573935	0.05673522641319784	1.5563255621441958	1.4723988831695303	0.14066190538786327	0.6330471403294429	False	False	False	0.25835826185383337	2.5480895273046915	0.5450348340944918	1.0006279326281655	0.7433855386312249
9	513616	contrast_s2	1	roi_logit_eq	6	0.03201478337236534	0.010264965705573559	4.444841397344135e-05	0.005725566064938903	0.02699282579123974	1.8165591725071228	0.05673522641319784	1.759823946093925	1.4723988831695303	0.3441602893375926	0.7129102620005291	False	False	False	0.40648627964051864	2.5480895273046915	0.5450348340944918	1.0006279326281655	0.7433855386312249
10	195951	clean_s0	1	roi_feat_eq	8	0.6241139705882353	0.03353538364171982	0.006224989891052246	0.031113505363464355	0.07480502128601074	-0.16969832399824042	-0.10082341884783108	-0.06887490515040934	-0.28803741816732686	0.11833909416908645	-0.5631381102014607	False	False	False	0.04556901876804439	0.3013440591709473	0.12570180343147944	0.7066724361446656	0.21119395914178468
10	195951	clean_s0	1	roi_logit_eq	8	0.6241139705882353	0.01639743521809578	9.617922842153348e-06	0.00032411018037237227	0.06599418073892593	0.011767636227666368	-0.10082341884783108	0.11259105507549745	-0.28803741816732686	0.2998050543949932	0.03905050014958211	False	False	False	0.18275481140222635	0.3013440591709473	0.12570180343147944	0.7066724361446656	0.21119395914178468
11	195951	color_cast_s2	1	roi_feat_eq	9	0.6153566176470588	0.05017615109682083	0.00831693410873413	0.045257508754730225	0.1187204122543335	0.10911013950731059	0.11214845999181772	-0.003038320484507126	0.47197060449295425	-0.36286046498564367	0.18310466242160753	False	False	False	0.07148245028430807	0.5958894659798749	0.409667884819912	0.8284093421600448	0.44098040221399776
11	195951	color_cast_s2	1	roi_logit_eq	9	0.6153566176470588	0.0620621033012867	1.2558026355691254e-05	0.002587077673524618	0.20020213723182678	-0.1609925692931681	0.11214845999181772	-0.27314102928498585	0.47197060449295425	-0.6329631737861223	-0.27017186657123277	False	False	False	0.21470832507106802	0.5958894659798749	0.409667884819912	0.8284093421600448	0.44098040221399776
12	18309	clean_s0	1	roi_feat_eq	20	0.25810362617924526	0.051178134977817535	0.004238903522491455	0.04315996170043945	0.11364126205444336	0.1433155914727441	0.10215691456794551	0.0411586769047986	0.01151946495382101	0.1317961265189231	0.8701157577120325	False	False	False	0.020139110992204015	0.16470864963612247	0.1408921747442854	0.2243077917044662	0.3131848486440332
12	18309	clean_s0	1	roi_logit_eq	20	0.25810362617924526	0.01195739209651947	7.194792851805687e-05	0.004466969287022948	0.07884437590837479	0.07712898330355787	0.10215691456794551	-0.02502793126438764	0.01151946495382101	0.06560951834973686	0.4682752452619396	False	False	False	0.049433141176967454	0.16470864963612247	0.1408921747442854	0.2243077917044662	0.3131848486440332
13	18309	gamma_s2	1	roi_feat_eq	14	0.2573334316037736	0.056721437722444534	0.00419086217880249	0.04935187101364136	0.16785496473312378	-0.31763829953086226	0.5183717350373601	-0.8360100345682224	0.23088452883517552	-0.5485228283660377	-0.785271276066187	False	False	False	0.01490837015770135	0.40449499330139255	0.5912013803482935	0.3185223006884133	0.2594208989535852
13	18309	gamma_s2	1	roi_logit_eq	14	0.2573334316037736	0.014632407575845718	2.128689447999932e-05	0.009271427523344755	0.058827102184295654	0.07860167437821429	0.5183717350373601	-0.4397700606591458	0.23088452883517552	-0.15228285445696121	0.19432051244764803	False	False	False	0.029997570217089927	0.40449499330139255	0.5912013803482935	0.3185223006884133	0.2594208989535852
14	222681	clean_s0	1	roi_feat_eq	20	0.8329850260416667	0.04977140575647354	0.007480621337890625	0.02969425916671753	0.17753922939300537	-0.17521623779837373	0.04259009887620653	-0.21780633667458027	-0.04628743120974185	-0.12892880658863187	-0.7858936267388542	False	False	False	0.029399455355651076	0.22295159528320804	0.14129745507657737	0.12329498812177953	0.07969459668729634
14	222681	clean_s0	1	roi_logit_eq	20	0.8329850260416667	0.009049857966601849	7.151287263695849e-06	0.0012762764235958457	0.07951967418193817	-0.025700272930970224	0.04259009887620653	-0.06829037180717676	-0.04628743120974185	0.02058715827877163	-0.11527288198479625	False	False	False	0.05934358132389899	0.22295159528320804	0.14129745507657737	0.12329498812177953	0.07969459668729634
15	222681	contrast_s2	1	roi_feat_eq	15	0.8363834635416667	0.06423988193273544	0.010032415390014648	0.027306079864501953	0.32928216457366943	0.004596156220434696	-0.08907324552209471	0.09366940174252941	-0.009778703620590048	0.014374859841024743	0.004525485267999606	False	False	False	0.010785515376177845	1.0156162154279802	1.4200344542022234	1.1340927843197024	0.773973214665437
15	222681	contrast_s2	1	roi_logit_eq	15	0.8363834635416667	0.011955665424466133	1.6123697150760563e-06	0.0014920743415132165	0.13485902547836304	0.21941480916680128	-0.08907324552209471	0.308488054688896	-0.009778703620590048	0.22919351278739133	0.21604106535240053	False	False	False	0.0639199379956321	1.0156162154279802	1.4200344542022234	1.1340927843197024	0.773973214665437
16	336897	clean_s0	2	roi_feat_eq	7	0.347275390625	0.08675391227006912	0.03709834814071655	0.05009281635284424	0.23584628105163574	-0.1771608449030602	0.006639233448134764	-0.18380007835119497	0.03758295692727497	-0.21474380183033517	-0.9207031753469149	False	False	False	0.04367661601508655	0.19241906583016108	0.19486334931816626	0.15251692878632642	0.1721631763904639
16	336897	clean_s0	2	roi_logit_eq	7	0.347275390625	0.00856457557529211	7.098723813214747e-07	0.006894826889038086	0.02531963400542736	0.10671027286368713	0.006639233448134764	0.10007103941555237	0.03758295692727497	0.06912731593641216	0.5545722426510559	False	False	False	0.04157885257182447	0.19241906583016108	0.19486334931816626	0.15251692878632642	0.1721631763904639
17	336897	color_cast_s2	2	roi_feat_eq	6	0.3806217447916667	0.1093580350279808	0.032045841217041016	0.10362136363983154	0.2137308120727539	-0.06952074741314222	-0.058987052088824606	-0.010533695324317617	-0.10033126766019304	0.03081052024705082	-0.6019630848412327	False	False	False	0.06622205801746955	0.11549005107601919	0.07200280249519961	0.6054379260091829	0.6768005940355922
17	336897	color_cast_s2	2	roi_logit_eq	6	0.3806217447916667	0.05329563841223717	3.0788296498940326e-06	0.01724059646949172	0.22535666823387146	0.09064082051711468	-0.058987052088824606	0.1496278726059393	-0.10033126766019304	0.1909720881773077	0.7848366129640716	False	False	False	0.20796456538310026	0.11549005107601919	0.07200280249519961	0.6054379260091829	0.6768005940355922
18	307243	clean_s0	2	roi_feat_eq	19	0.08183528428093645	0.06699238717556	0.012263715267181396	0.057863831520080566	0.23456275463104248	0.2035020460825729	-0.07333361255591722	0.27683565863849013	0.0030228372938205417	0.20047920878875236	0.6800276382775704	False	False	False	0.01767705478884048	0.2992555517442375	0.19343901596101662	0.12766376073995203	0.18070555848742248
18	307243	clean_s0	2	roi_logit_eq	19	0.08183528428093645	0.0037252965848892927	5.202994088904234e-06	0.0009614010341465473	0.013635163195431232	0.18747352825187003	-0.07333361255591722	0.2608071408077872	0.0030228372938205417	0.18445069095804947	0.626466333478582	False	False	False	0.008349770877298827	0.2992555517442375	0.19343901596101662	0.12766376073995203	0.18070555848742248
19	307243	gamma_s2	2	roi_feat_eq	20	0.08404055183946488	0.06018484756350517	0.014610528945922852	0.0566040575504303	0.16758465766906738	0.0007292220548289776	-0.1200585565798562	0.12078777863468518	-0.04952424603265614	0.05025346808748512	0.004158913308688501	False	False	False	0.03239829023566792	0.17533956606598353	0.2754746006876201	0.147746314500188	0.10655559601816494
19	307243	gamma_s2	2	roi_logit_eq	20	0.08404055183946488	0.009165013208985329	2.269969991175458e-05	0.0015463350573554635	0.0725092813372612	-0.15247637629107727	-0.1200585565798562	-0.03241781971122107	-0.04952424603265614	-0.10295213025842112	-0.8696062144689097	False	False	False	0.0698167769421993	0.17533956606598353	0.2754746006876201	0.147746314500188	0.10655559601816494
20	21048	clean_s0	2	roi_feat_eq	2	0.20204081632653062	0.01462787389755249	0.010517239570617676	0.01462787389755249	0.018738508224487305	0.008039075720723111	0.01725338929760826	-0.009214313576885147	0.03135142652539528	-0.023312350804672165	0.22468658475622164	False	False	False	0.05797998988675286	0.035779064110943365	0.027344271077847534	0.004366021763517994	0.004593812898969009
20	21048	clean_s0	2	roi_logit_eq	2	0.20204081632653062	0.00021957627905067056	3.0257670005084947e-06	0.00021957627268420765	0.0004361267783679068	0.029284623054128905	0.01725338929760826	0.012031233756520647	0.03135142652539528	-0.002066803471266372	0.8184848827528403	False	False	False	0.0007372221602984731	0.035779064110943365	0.027344271077847534	0.004366021763517994	0.004593812898969009
21	21048	contrast_s2	2	roi_feat_eq	2	0.1793061224489796	0.018060117959976196	0.011519968509674072	0.018060117959976196	0.02460026741027832	-0.14736284599389485	0.14153878400554956	-0.2889016299994444	-0.07700410882815613	-0.07035873716573872	-0.802987344345009	False	False	False	0.01056215014213311	0.18351826718769726	0.2930723697458978	0.005307552505376721	0.005394943747308897
21	21048	contrast_s2	2	roi_logit_eq	2	0.1793061224489796	0.00018759990052785724	3.440380532993004e-05	0.00018759989688987844	0.00034079598844982684	0.12465049851699798	0.14153878400554956	-0.016888285488551577	-0.07700410882815613	0.2016546073451541	0.6792266545026375	False	False	False	0.0008595236208662596	0.18351826718769726	0.2930723697458978	0.005307552505376721	0.005394943747308897
22	21872	clean_s0	2	roi_feat_eq	12	0.4912031615925059	0.048402607440948486	0.0030571818351745605	0.0286504328250885	0.19760417938232422	0.20102205046194	0.0602780804077695	0.1407439700541705	-0.3113584367183108	0.5123804871802509	0.6163322031331809	False	False	False	0.045653795719949514	0.326158603176062	0.10028153262081663	0.15222300633630134	0.13786824204959944
22	21872	clean_s0	2	roi_logit_eq	12	0.4912031615925059	0.010213828645646572	2.7720416255760938e-05	0.0018814951181411743	0.07881005108356476	-0.2037757412122014	0.0602780804077695	-0.26405382161997093	-0.3113584367183108	0.10758269550610941	-0.6247749997498049	False	False	False	0.03691971135036602	0.326158603176062	0.10028153262081663	0.15222300633630134	0.13786824204959944
23	21872	color_cast_s2	2	roi_feat_eq	11	0.5032750292740047	0.07150968164205551	0.004182875156402588	0.029785752296447754	0.2682650089263916	0.16027260745318414	0.4125085843003525	-0.25223597684716836	0.2264313226448122	-0.06615871519162805	0.30415432850138685	False	False	False	0.04058810174587867	0.5269450158635572	0.45315718967582963	0.9438908349877226	0.3076017743422396
23	21872	color_cast_s2	2	roi_logit_eq	11	0.5032750292740047	0.00751533592119813	2.922116982517764e-05	0.0043432218953967094	0.025074465200304985	0.31452239070834764	0.4125085843003525	-0.09798619359200483	0.2264313226448122	0.08809106806353545	0.5968789555738708	False	False	False	0.06108164536149671	0.5269450158635572	0.45315718967582963	0.9438908349877226	0.3076017743422396
24	552273	clean_s0	3	roi_feat_eq	20	0.2759697014051522	0.05329428240656853	0.012041687965393066	0.03974214196205139	0.22789132595062256	-0.13660937217907904	-0.0874826746330878	-0.049126697545991235	-0.1737284747152126	0.03711910253613357	-0.5391431013364378	False	False	False	0.03478836849792308	0.25338239855870565	0.2672282250096134	0.2515673552077908	0.128264887790822
24	552273	clean_s0	3	roi_logit_eq	20	0.2759697014051522	0.011676584370434284	3.6531823752739e-06	0.002102757804095745	0.056349191814661026	0.0878767280060973	-0.0874826746330878	0.1753594026391851	-0.1737284747152126	0.26160520272130994	0.346814650545491	False	False	False	0.019888235492234868	0.25338239855870565	0.2672282250096134	0.2515673552077908	0.128264887790822
