episode	image_id	case	block	supports	mask_area	geometry_loss	per_object_loss_min	per_object_loss_median	per_object_loss_max	delta_disagreement_l2	cotangent_l2	S_global	Delta_global	S_obj_current	Delta_obj	cosine_candidate_task	zero_gradient	near_zero_gradient	material_near_zero	S_geom	norm_candidate	norm_task_object	norm_task_global	norm_pseudo_object	norm_pseudo_global	roi_box_diagnostic_score	roi_box_diagnostic_task_gradient_norm	roi_box_diagnostic_cosine	localization_diagnostic_score	localization_diagnostic_task_gradient_norm	localization_diagnostic_cosine
0	454659	clean_s0	0	20	0.5480419717573222	0.0024860515259206295	4.359361628303304e-05	0.0013376771821640432	0.008880912326276302	0.3153443458598586	0.0886009769124434	0.08899673410061333	-0.03216943119447961	0.0446749646952306	0.01215233821090312	0.5041849929083144	False	False	False	0.05682730290613372	0.011360607747715079	0.11271121455507076	0.12107600871258706	0.0453746273021507	0.04655233706944556	0.05530923070802271	0.10304845284886296	0.5367303359130589	0.05658195214321632	0.11472866531211881	0.4931806013280632
1	454659	gamma_s2	0	20	0.5477281642259414	0.008517629466950893	2.1595866201096214e-05	0.0030982308089733124	0.07338692247867584	0.5836995755715544	0.2851239886797506	-0.15850611365406755	0.4843606430672913	0.06766295205776644	0.25819157735545734	0.9359650075146219	False	False	False	0.3258545294132238	0.04556296416055346	0.34814819657163837	0.17639728114982264	0.05303908057136513	0.0625601753907313	0.10360634246794867	0.11313172402633252	0.9158027366939727	0.19027205890793056	0.20268812347000598	0.9387430089867267
2	486839	clean_s0	0	18	0.5699476709905661	0.005271736066788435	0.0001299231662414968	0.0029403805965557694	0.02510150335729122	0.43564034451604117	0.1367799581365639	0.017730427942149535	-0.10069038169259249	0.04439760013985306	-0.12735755389029602	-0.6072391997114267	False	False	False	-0.08295995375044296	0.03404806854258259	0.13661824498863692	0.0842261526103252	0.20194109366288615	0.18599081373182313	0.04330796636001317	0.12449577030998529	0.34786696972476644	0.023301077267734716	0.11805028224409803	0.197382647677524
3	486839	contrast_s2	0	11	0.5617150648584905	0.005021615885198116	0.0001350048405583948	0.0012914128601551056	0.0215284526348114	0.33237862030601867	0.270092456429077	1.0724291595776771	-0.9644337846019072	0.6964350759231486	-0.5884397009473786	0.10115421217729194	False	False	False	0.10799537497576991	0.07144994717262937	1.0676310225025434	1.5643699867420209	0.27565671271380515	0.2901581865113007	-0.11555256334295706	0.19993066470692666	-0.577963182956251	-0.12636652428458636	0.2071059766529577	-0.6101539237474745
4	359220	clean_s0	0	19	0.6688736979166667	0.010768133215606213	0.0002621016465127468	0.003252588678151369	0.10660110414028168	0.6396788959672075	0.8231818991367097	-0.02882560958855662	-0.03789569667327514	0.021156328884005156	-0.08787763514583691	-0.4202284010065645	False	False	False	-0.06672130626183176	0.07055553878017795	0.15877390986178286	0.13903911020401585	0.2230434794540418	0.19152913641556416	-0.1038922167014299	0.1369546271639061	-0.7585885840758422	-0.10666221331304587	0.13800271381122142	-0.772899389938552
5	359220	color_cast_s2	0	14	0.6557845052083334	0.004585342947393656	0.00015130596875678748	0.002109546563588083	0.024257559329271317	0.35831493583408697	0.5938573477707393	-0.176078600050912	1.065098973735654	-0.9176586435261714	1.8066790172109135	0.8033555523380158	False	False	False	0.889020373684742	0.026374175666012915	1.1066337577814986	0.28128513954113005	0.06480049754540805	0.12511087301015883	0.42857599557697806	0.4918568911135907	0.8713428709373341	0.4380583966465446	0.5109727482378379	0.857302856510177
6	574541	clean_s0	0	7	0.37546875	0.02818787656724453	7.978798385011032e-05	0.014880741015076637	0.14808014035224915	0.6281960180882912	1.0239807184970253	0.11080380693676502	-0.23083635665569702	0.03690231895750441	-0.1569348686764364	-0.4269812166789278	False	False	False	-0.12003254971893201	0.1181497338885271	0.2811190399745558	0.23100110082619807	0.48479465700157587	0.5098866072924796	-0.055913821551531157	0.131355681814965	-0.4256673238601719	-0.07467665306537312	0.1416673192744132	-0.527126887474694
7	574541	gamma_s2	0	6	0.3383951822916667	0.0424104742705822	0.00035376293817535043	0.02175866812467575	0.14024889469146729	0.7133902734068812	2.9272343497314193	0.5951958275800177	-0.42279781240280545	0.07942685575653599	0.09297115942067621	0.3119507604259676	False	False	False	0.1723980151772122	0.9572095220124859	0.5526449589094877	0.6019871160061032	1.9157323716062995	0.7725682248743655	0.5301137235153929	0.5685621635985505	0.9323760134876801	0.5973475313662426	0.6339245537369286	0.9423006694496315
8	178016	clean_s0	0	5	0.1736597374179431	0.0045724730007350445	0.00042171665700152516	0.0006260553491301835	0.015618361532688141	0.21383341393217176	0.3126682383174944	-0.06265562915318172	-0.03179780080030668	0.04749070891877907	-0.14194413887226748	-0.5209276041862542	False	False	False	-0.0944534299534884	0.04364903374713495	0.1813177669922079	0.2192318885674108	0.021997491229681438	0.020403751590270393	-0.05468334961398021	0.1118818867850291	-0.4887596302366808	-0.04528032521536356	0.09727538893831933	-0.465485933395881
9	178016	contrast_s2	0	5	0.16755675601750547	0.0021829898469150066	1.4333936633192934e-05	0.0009143396746367216	0.007819289341568947	0.14774944753895652	0.2581553952369537	-0.08006741876653665	-0.38766466925795706	-0.27965378244205336	-0.18807830558244037	-0.8455615956719975	False	False	False	-0.46773208802449373	0.0625534938470938	0.5531614614784485	0.17502765235649856	0.11413914412964801	0.022347753941337936	-0.43732980042971853	0.4874505299100483	-0.8971778131360583	-0.4147936526895117	0.46844232082872955	-0.8854743353724402
