episode	image_id	case	block	supports	mask_area	loss	per_object_min	per_object_median	per_object_max	S_mem	S_global	Delta_global	S_obj_current	Delta_obj	cosine_candidate_task	zero_gradient	near_zero_gradient	material_near_zero	norm_candidate	norm_task_object	norm_task_global	norm_pseudo_object	norm_pseudo_global	retrieval_cosine_mean	retrieval_cosine_min	distinct_memory_entries	distinct_classes	unique_anchor_hashes	anchor_pairwise_mean_cosine	anchor_pairwise_min_cosine
0	477272	clean_s0	0	4	0.8268828451882845	0.12490075826644897	0.09640955924987793	0.11151155829429626	0.18017035722732544	0.09946429672158481	0.023390152879796566	0.07607414384178825	0.03630388085943233	0.06316041586215249	0.6112433515331426	False	False	False	0.09252531387150913	0.16272454575281659	0.21860681294247084	0.11886367775301891	0.1387766769824173	0.8387054391205311	0.7675204277038574	7	1	4	0.9808292388916016	0.9614806175231934
1	477272	gamma_s2	0	3	0.8860355648535564	0.16334828734397888	0.12075459957122803	0.1752016544342041	0.19408857822418213	0.2242715834664444	0.42973917509444015	-0.20546759162799574	0.28109646298625707	-0.05682487951981266	0.7126172803357965	False	False	False	0.17529560019218193	0.3147153312954234	0.4402582204490309	1.1256506883633066	1.4234292863204017	0.8013172199328741	0.7426314949989319	7	1	3	0.9810347557067871	0.9749996662139893
2	558387	clean_s0	0	20	0.4971538461538461	0.10476654022932053	0.04336792230606079	0.09503677487373352	0.23132842779159546	-0.13321241762534733	-0.05410945993437177	-0.07910295769097556	-0.024526794423307588	-0.10868562320203974	-0.9057469918403454	False	False	False	0.021418945718304213	0.1470746453829215	0.09883164361109746	0.15192025477057267	0.2023715146238442	0.8313563592731953	0.6252251863479614	25	4	17	0.6501781344413757	0.39566004276275635
3	558387	contrast_s2	0	16	0.5162252747252747	0.11325256526470184	0.06610822677612305	0.09582951664924622	0.26519453525543213	0.0494504716325222	0.5558506718266435	-0.5064002001941212	0.1505115397727436	-0.1010610681402214	0.14037030938367617	False	False	False	0.04187218211099675	0.35228583488079024	0.5929025848993132	0.24835541253232052	0.18966283701092412	0.8197451094165444	0.6078051924705505	23	3	15	0.7096704244613647	0.4309511184692383
4	354661	clean_s0	0	5	0.7302633509389671	0.18014000356197357	0.14965087175369263	0.17290711402893066	0.21090108156204224	-0.017871433137660986	0.05960502602722939	-0.07747645916489038	0.04784424519225652	-0.06571567832991751	-0.2611478726057672	False	False	False	0.03868077436883765	0.06843415173096966	0.07073311897036692	0.5928495145569346	0.6573256466715576	0.7467097967863083	0.7005186676979065	10	2	5	0.7439762949943542	0.38325589895248413
5	354661	color_cast_s2	0	4	0.8166923415492957	0.20121873915195465	0.16951298713684082	0.20273259282112122	0.22989678382873535	0.08871043509377871	0.09439158191440779	-0.005681146820629077	0.10556528590630458	-0.01685485081252587	0.8155441274528444	False	False	False	0.10523265356999029	0.10877453727940803	0.09757399186546623	0.8083330347052745	0.7691477509272449	0.7314763888716698	0.6815231442451477	11	2	4	0.6729559898376465	0.3669191002845764
6	403585	clean_s0	0	3	0.8423828125	0.11240490525960922	0.0707712173461914	0.11137938499450684	0.15506410598754883	-0.004454762466382805	2.9131687741420633e-05	-0.004483894154124226	-0.001338344412466599	-0.003116418053916206	-0.10203224048277128	False	False	False	0.026722249243372454	0.04366034153000612	0.04033987765345545	0.016775962229136993	0.016531023314421984	0.8142036298910776	0.7160440683364868	12	3	3	0.4644012153148651	0.4056503176689148
7	403585	gamma_s2	0	3	0.8296342329545454	0.11119872331619263	0.06732684373855591	0.08993268013000488	0.1763366460800171	0.11366518046083755	0.11020254563858259	0.0034626348222549647	0.10059318956459885	0.0130719908962387	0.9532261116644595	False	False	False	0.03059760605737159	0.1192426215287765	0.13281990502031632	0.3232135776291013	0.33066594251886966	0.8192718923091888	0.7131527662277222	12	3	3	0.4764203727245331	0.4223024547100067
8	215023	clean_s0	0	16	0.17710286458333335	0.12038759887218475	0.035120487213134766	0.10696107149124146	0.23385119438171387	-0.18852095984062558	-0.00020087610966498177	-0.1883200837309606	-0.13362777111482393	-0.05489318872580165	-0.7113666408685098	False	False	False	0.04438812830480958	0.26501237057546984	0.11694366773186636	0.48902505059826623	0.22775123752952525	0.8049751501530409	0.5919460654258728	35	6	15	0.6281369924545288	0.34034794569015503
9	215023	contrast_s2	0	16	0.15374348958333334	0.10427926480770111	0.05264240503311157	0.10623711347579956	0.15708661079406738	0.7208229549039846	0.23911475282339906	0.48170820208058557	0.2202541778379241	0.5005687770660605	0.922545856770741	False	False	False	0.016861936719976472	0.781341057093775	0.29884191232124835	0.14166812938228865	0.10245834538544481	0.8121217461302876	0.6971768140792847	23	4	15	0.6946418881416321	0.37565475702285767
