episode_index	image_id	case	partition	block	S_orig	y	integrity_passed	holdout_score	norm_pseudo	norm_clip	support_count	pseudo_loss	clip_loss	feature_0	feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20
0	480661	clean_s0	train	-1	-0.025940299445816013	-1	True		0.01938978626060385	0.11394289571523554	5	0.02415056712925434	-2.3010015866020694e-06	0.12459900406407727	0.3124100470984423	0.30974662677902265	-0.8137774413958003	-0.17536183296154412	-0.011728389699245419	-0.0614840380391395	0.3066410590759101	-0.11950220092356435	0.6150066984468027	-0.207526505419152	-0.678368350526905	-0.31874657049158506	0.034522557965087124	0.0303570372442533	-0.022855687596459076	-3.9430088329134554	-2.1720578708572202	0.7116207653591484	0.02415056712925434	-2.3010015866020694e-06
1	480661	gamma_s2	train	-1	0.05552889279880958	1	True		0.14522593530917124	0.15383874785076615	6	0.05797372758388519	-6.588464884771383e-07	-0.10337983501555928	-0.08893111020120191	0.3923967430030862	-0.16040182393815391	-0.6734694818921615	0.5890042542899702	0.032427643896043475	0.012696912783046252	0.08506718133246137	0.491734418101334	-0.8361847251798222	0.05163941771641029	-0.2014545259860582	-0.06589968734223606	-0.06447804555634976	-0.0022802247057426774	-1.9294645747030632	-1.8718503170238285	-0.2941854822705146	0.05797372758388519	-6.588464884771383e-07
2	555444	clean_s0	train	-1	0.012988337015729727	1	True		0.40918420146556006	0.1723914030905244	1	0.08007927983999252	-0.00024456685059703887	0.07139243809176113	0.3410788411779254	-0.8621638675473559	0.2818765363055277	0.06670106608084111	-0.2206670839820336	0.049450989200620105	-0.014107911006218445	0.14437047770939843	0.15864224679906397	-0.25543657246875645	0.7358600701112411	0.5866171822289772	0.037833626141553986	-0.03421591326021006	0.02302361554322609	-0.8935898539917267	-1.7579877880543406	0.5208288746960797	0.08007927983999252	-0.00024456685059703887
3	555444	contrast_s2	train	-1	0.0	-1	True		0.0	0.1207493038220324	0	0.0	-1.5193319995887578e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.018666360221220247	-0.6495800912958961	-0.2756548873850252	0.6634677278858586	-0.23516704996942456	-0.0191879985615439	-0.034893981652780605	-0.06806554525282768	-27.631021115928547	-2.1140387519068007	0.0	0.0	-1.5193319995887578e-05
4	223330	clean_s0	train	-1	0.03251496335494085	1	True		0.0020244509137933783	0.4637543245423089	1	0.0005124686285853386	2.4530652808607556e-05	-0.10663728058171938	-0.841208055242272	0.27731889012044253	-0.08354809239693976	-0.3944502111227622	-0.18249154714186872	0.06939210441527845	-0.0583270833208776	-0.029475579316780444	0.8201009401602317	-0.2737924041220609	-0.25255576710470884	-0.22205651896973158	0.3720777531048354	-0.00016966230403167855	-0.008243867863491473	-6.202456768380762	-0.7684003399431973	-0.7214013109106605	0.0005124686285853386	2.4530652808607556e-05
5	223330	color_cast_s2	train	-1	0.005324261646293988	1	True		0.0012420488043000757	0.1108181453959206	1	0.0006873629172332585	-8.402477646995976e-08	-0.16012405149781753	0.3229379891343793	-0.8493354142978808	-0.03414588128041833	-0.155197175335163	-0.2923952910609822	0.13541146804407916	-0.14006184120613863	0.0614103448264852	0.88211407017632	-0.04368683252229262	-0.1103900729294326	0.14750625918697258	0.4187645242651697	-0.07433196823100163	-0.036904801944348684	-6.690993000510157	-2.1998647509571025	0.16567523495716235	0.0006873629172332585	-8.402477646995976e-08
6	56028	clean_s0	train	-1	0.11138639088154804	1	True		0.06547238034338465	0.18332737395405188	11	0.08839619904756546	-1.4354532140714582e-06	-0.06265948279234793	-0.6916407486940331	0.6633592990192756	-0.13183689078708527	0.043438547684488134	-0.14683534281567345	0.03864218190952495	-0.1879882842530138	-0.04458856242118084	0.24044142590005413	-0.7912793137168208	0.43294821241112236	-0.32265256461281366	0.14770519854862943	-0.012375410673499124	-0.023622445606855256	-2.726126899402	-1.6964817956517688	-0.7772276007675202	0.08839619904756546	-1.4354532140714582e-06
7	56028	gamma_s2	train	-1	0.21477018004034046	1	True		0.2866148175916523	0.19209146252463827	9	0.10676096379756927	1.0486058954484179e-06	0.46362399509825475	0.5312263636948226	-0.6580031333406885	0.10687576706757594	0.13632209314389981	-0.11269111651060086	-0.1288699943166464	-0.10281202434818844	0.17382134544980796	0.4432013961037992	-0.7058201807022105	0.3616474901445697	-0.2615037640665904	0.2600692045022026	-0.08932099916576433	-0.019727571809736628	-1.2496160636242795	-1.6497836530602146	0.7676940547820331	0.10676096379756927	1.0486058954484179e-06
8	516239	clean_s0	train	-1	0.044121657481566254	1	True		0.16419454469133984	0.2748193899433678	16	0.20935994386672974	-1.355264521407662e-05	0.43767577637720034	0.5037608192584359	0.4017002806299314	-0.2676163829388748	0.5125283363099474	0.0903967134600515	-0.17507389628883266	-0.1420407595666731	-0.029026656270451062	0.6032851395902095	-0.7748841230890261	-0.044076037183820214	-0.17860245659732515	-0.02674219438793788	0.005318085694353783	-0.013195749318949386	-1.8067033060702922	-1.291641160918074	-0.1012814983585963	0.20935994386672974	-1.355264521407662e-05
9	516239	contrast_s2	train	-1	-0.1829298221391112	-1	True		0.08606257361524174	0.30300170221692163	17	0.21308882534503937	3.1168683563009836e-06	-0.31977938068566014	-0.13805083065232554	-0.5490233068857907	0.4249842442863835	-0.559572662808001	0.2145884669054829	0.07186239458669985	-0.17975243413975006	0.015295884081547646	0.6722451555032525	-0.7388709634030483	0.038920591674191	-0.004915207749712418	-0.0164395152006366	-0.008920497239436952	-0.005777682173661291	-2.452680647112462	-1.1940168556076187	0.3241228971384625	0.21308882534503937	3.1168683563009836e-06
