episode_index	image_id	case	block	S_hard	S_soft	Delta	norm_hard	norm_soft	norm_ratio	gradient_cosine	integrity_passed	support_count	hard_loss	soft_loss
0	34524	clean_s0	0	-0.1660538058297401	-0.16329491197473786	0.002758893855002248	0.4608358981283686	0.224252276434396	0.4866206763517567	0.9568988700086767	True	8	0.25840574502944946	0.293396919965744
1	34524	gamma_s2	0	-0.040734824948863754	0.11021237102371856	0.15094719597258233	1.281120016919853	0.09090149200035731	0.07095470432107386	-0.06702788567985371	True	8	0.3206615746021271	0.33842307329177856
2	481596	clean_s0	0	-0.053311521456480576	0.14244025584068912	0.1957517772971697	0.18544403568479206	0.08451539336578774	0.45574608562468155	-0.5403398844723862	True	16	0.2257225215435028	0.28088971972465515
3	481596	contrast_s2	0	-0.48950222560980305	0.9091672490985997	1.3986694747084027	1.5221523079151111	0.21099458306456545	0.13861594662203305	0.8353262406022244	True	12	0.17907865345478058	0.20929723978042603
4	257134	clean_s0	0	0.03738429927993965	0.039769537682615846	0.002385238402676196	0.18960929674987775	0.108244762699922	0.5708832032783319	0.840760782508899	True	18	0.17170272767543793	0.21951083838939667
5	257134	color_cast_s2	0	-0.0457347920781236	0.02003049454019453	0.06576528661831813	0.23546731245885372	0.06281740008117923	0.2667775812498651	0.9103039056072079	True	18	0.17491254210472107	0.22061726450920105
6	10084	clean_s0	0	0.012083411813491223	0.012073700747841382	-9.71106564984052e-06	0.0013955175231371722	0.0013941307675592895	0.9990062786350649	0.9999999512319769	True	1	0.0012550819665193558	0.001263949554413557
7	10084	gamma_s2	0	0.04234012502574198	0.042337799999471376	-2.325026270601216e-06	0.0015654682929830187	0.0015634057709691762	0.9986824887970664	0.9999999520665503	True	1	0.0013050857232883573	0.001314580556936562
8	574697	clean_s0	0	-0.09326947389645614	0.05887169221906558	0.15214116611552173	1.103905200698465	0.20272935689892574	0.18364743346679988	-0.8163317680557763	True	9	0.4051705598831177	0.26417359709739685
9	574697	contrast_s2	0	0.936136767221551	0.13834110841894434	-0.7977956588026067	1.5658381268565504	0.42190703932865015	0.2694448628452013	0.19615018735025513	True	5	0.6920135021209717	0.5886204242706299
10	303592	clean_s0	0	-0.05614199344583093	-0.0530116982332167	0.00313029521261423	1.328955967553052	0.4831505512967403	0.3635564782378336	0.8884450539447566	True	3	0.8059056997299194	0.3666887879371643
11	303592	color_cast_s2	0	-0.02132537314934412	-0.029001372605009044	-0.007675999455664925	0.381049300803485	0.1691444404018753	0.4438912236427553	0.9103383015905482	True	3	0.27911409735679626	0.35989904403686523
12	213854	clean_s0	0	-0.033162642432861544	0.031624769904897966	0.0647874123377595	0.2454650921036157	0.11614210303345372	0.47315120059689725	-0.058408188860537294	True	7	0.24567504227161407	0.29499590396881104
13	213854	gamma_s2	0	-0.03595574451849472	0.005580046522744287	0.041535791041239	0.17145550993263892	0.14468098193168924	0.843839792541699	-0.0236499315821035	True	8	0.2732164263725281	0.34703028202056885
14	560103	clean_s0	0	0.11125418797537276	0.10892549437355592	-0.002328693601816839	0.3586861011286528	0.30295352171636564	0.8446201867401126	0.9992297226364444	True	2	0.11089292168617249	0.13980625569820404
15	560103	contrast_s2	0	-0.12701015305965896	0.1658986654944183	0.29290881855407724	0.4629968232334019	0.06202000753224271	0.13395341915980646	-0.7277248587208326	True	2	0.26482704281806946	0.28609699010849
16	119714	clean_s0	0	0.32543456571923496	-0.24625680874404524	-0.5716913744632802	1.3615010793439017	0.15971734304959134	0.11730974398239777	-0.7520294147797048	True	13	0.2940845191478729	0.3006184697151184
17	119714	color_cast_s2	0	-0.30817628851161616	0.006528122775939654	0.31470441128755583	0.402980062040311	0.13214573134202845	0.3279212640768555	0.1960013902482898	True	10	0.20738671720027924	0.2295810580253601
18	413341	clean_s0	0	-0.055462794621364234	-0.05545634181658491	6.452804779323584e-06	0.0946939313680415	0.09371574949728717	0.989670068011513	0.9999997443903456	True	1	0.03438043221831322	0.0360102504491806
19	413341	gamma_s2	0	-0.08585219681519325	-0.0933564896108343	-0.007504292795641049	0.8023339994782446	0.402746799005003	0.5019690045129684	0.9917306242112923	True	2	0.27744367718696594	0.36476030945777893
20	557582	clean_s0	0	0.04770025432380465	0.049509784323275595	0.0018095299994709477	0.3464827005590871	0.18859259216397342	0.544305940411048	0.9902950784531133	True	5	0.21170344948768616	0.27237653732299805
21	557582	contrast_s2	0	-1.5190316034368903	-1.5197721142713307	-0.0007405108344404887	0.3676860423841186	0.2681123397325508	0.7291882443893696	0.999040255787904	True	4	0.17191080749034882	0.22509746253490448
22	388117	clean_s0	0	0.06789369201324538	0.06712140377142542	-0.0007722882418199628	0.13058064842003783	0.0887827433469249	0.6799073555013917	0.9994327999617438	True	15	0.12886086106300354	0.16945022344589233
23	388117	color_cast_s2	0	-0.15222351806330514	-0.12982634953326722	0.022397168530037925	0.12412713399325082	0.06608358885698057	0.5323863262691116	0.9760386590470196	True	18	0.15138614177703857	0.196966290473938
