episode	image_id	case	repetition	projected_multi_relative_l2	projected_multi_cosine	projected_sep_relative_l2	projected_sep_cosine	projected_sep_rev_relative_l2	projected_sep_rev_cosine	image_space_multi_relative_l2	image_space_multi_cosine	image_space_sep_relative_l2	image_space_sep_cosine	image_space_sep_rev_relative_l2	image_space_sep_rev_cosine	direct_phi_rel	direct_phi_cosine	reverse_order_relative	image_reverse_order_relative	old_additivity_pass	old_max_error_over_bound	rng_restored	isolation	target_unchanged	cotangent_file	cotangent_sha256
0	304815	clean_s0	0	0.0003083885555838925	0.9999999636260652	0.0006199360878963445	0.9999998163700737	0.0004998821313819823	0.9999998764143151	0.0004845626576832935	0.9999998828204648	0.0005168260027630016	0.9999998664604279	0.0005182525235770634	0.9999998657219804	0.0006521921324129822	0.9999998848719376	0.00023816139668758417	0.0003528732364111376	False	13.669366093218063	True	True	True	cotangents_00_00.pt	778f6c2054366b205620672488d1850bda5f7a783b7721fc802e7bdcb652e2e3
0	304815	clean_s0	1	0.000205301251416605	0.999999980547921	0.00044703667905725606	0.9999999004072906	0.0005814853575125765	0.9999998802889455	0.00048755667256763396	0.9999998811698843	0.000523690301363908	0.999999862890003	0.0005207889878919482	0.9999998644195847	0.0002488078146148751	0.999999982273989	0.00044587617152096643	0.0003790844261048842	False	9.845035687658724	True	True	True	cotangents_00_01.pt	4692ba9f5f8064b661a95f89e4a8e9161a1b950e6424046b48181b8ae94d512c
0	304815	clean_s0	2	0.0003090300868696077	0.9999999907882412	0.0004373202704328815	0.999999965380578	0.00014069998559646177	0.9999999937177714	0.00047141984740175385	0.9999998889741114	0.0005290550360669876	0.9999998603913465	0.0005198159531135083	0.9999998650625407	0.00046364213691096483	0.9999999009504998	0.00047638042499288	0.00036819142518051376	False	12.658390276384921	True	True	True	cotangents_00_02.pt	4bfca6595158cd318c749cfb72033b4a48e610264de0e7c49d44f92b4d98b2ea
0	304815	clean_s0	3	0.0005324710073586799	0.9999998955058077	0.0007313760451951501	0.9999998269620618	0.0005265050020605299	0.9999999514058018	0.00048018751560890597	0.9999998847201402	0.0005290964965000437	0.9999998607082143	0.0005197418041612527	0.9999998655329058	0.0005934981611394254	0.9999998799864388	0.0002840424488683919	0.0003860234248689623	False	15.130783160730077	True	True	True	cotangents_00_03.pt	28cb4928cb65b415861b1f712bf03355b31d5f4f22590bbecea36d6563dbbce6
0	304815	clean_s0	4	0.0005489034436427113	0.999999854927334	0.0005578615921031772	0.9999998521300238	0.0006115847056592467	0.9999998387196878	0.00048647684415104026	0.9999998817510399	0.0005287426507678688	0.9999998613239341	0.0005308551909966595	0.9999998596413535	0.000338122383366172	0.999999949140952	0.0001630017384284948	0.0003667664344448113	False	12.58150622606933	True	True	True	cotangents_00_04.pt	6309a3ebf0aff20bccda70f62370e4846f406fc33aa8d83e91b1787015bbdf1b
1	304815	gamma_s2	0	0.0007935962962202532	0.9999998858273941	0.0005008012368126692	0.9999998746262533	0.0008959086808213949	0.9999996187789322	0.0004401715532209096	0.9999999031881293	0.0005235803811124531	0.9999998631498851	0.0005359108310531243	0.9999998564046234	0.00048531660875290877	0.9999999483081188	0.0007002174024278249	0.0003943246727939874	False	12.377373722812706	True	True	True	cotangents_01_00.pt	1aebdbf20a2d1ef2dabfe5b4def61d83eb630361960dfe357f80b32f2e16dcfa
1	304815	gamma_s2	1	0.0009158467521716945	0.9999995994056902	0.0005661541017493288	0.9999998717941759	0.0008583450719256069	0.9999996448980726	0.00047109585594024754	0.9999998890606348	0.0005403663291715069	0.999999854291408	0.0005418633608832682	0.9999998533870059	0.0004258996053774004	0.9999999116077645	0.0003707889482151038	0.00039834338261613854	False	5.18269565616122	True	True	True	cotangents_01_01.pt	5a9d00ae41f28c028cec8f4559fedf6b6918fe05145740f8b1d22933fbb48c19
1	304815	gamma_s2	2	0.0006542205529372367	0.9999997950668907	0.0006422550438891058	0.9999998039741367	0.0008764272851581489	0.9999996318020133	0.0004565909811405539	0.999999895814523	0.0005273916504360875	0.9999998609305659	0.0005330392397579015	0.999999857939341	0.0008958817524301249	0.9999995997762975	0.00023910276797685107	0.0003811410482732103	False	10.959686149997108	True	True	True	cotangents_01_02.pt	f6d506466ab12cb86cfa495955acde843a87fadf9dd7b4c902f944fddfa0ba8f
1	304815	gamma_s2	3	0.0007143314010970546	0.9999997465938082	0.0005375671400822717	0.9999999241068334	0.0006451496203777187	0.9999998512668938	0.0004537160156975837	0.9999998970825533	0.0005344974812089484	0.9999998571689802	0.0005375872242837915	0.999999855534642	0.00036314822492800893	0.9999999753873555	0.0003884875026532164	0.00036848310878465166	False	5.846003630907922	True	True	True	cotangents_01_03.pt	b78c0d155a9e46cebaaefd3969c8a521e47b10cd6075fb9d95309c14cd8dea10
1	304815	gamma_s2	4	0.00042824737835893065	0.9999999099021495	0.00025882397486829377	0.9999999802634878	0.0002765699139749619	0.9999999716659658	0.00046473966323320516	0.9999998920113443	0.0005436185528665346	0.9999998522495411	0.0005299548025440552	0.9999998599021253	0.0001573712426542222	0.9999999885471205	0.0004007219874380893	0.00040091683173133335	False	2.648208380813301	True	True	True	cotangents_01_04.pt	01d010c79cd2498c745afaef1914179bc7e0e1261bc91ee73d5ce15af9566283
