episode_index	image_id	case	family	block	C_H	C_HC	C_HN	C_HCN	E	integrity_passed
0	181224	clean_s0	gamma_s2	0	0.06669689494101838	0.4032928416906365	0.3829638592842124	0.45086080184092453	0.38416390689990615	True
1	181224	gamma_s2	gamma_s2	0	0.11355830221287275	0.966096548828754	0.5797932672745658	0.9663436726155387	0.8527853704026659	True
2	177319	clean_s0	contrast_s2	0	0.6954495508597384	0.9019501124342589	0.7816996971537821	0.9369722715764937	0.2415227207167553	True
3	177319	contrast_s2	contrast_s2	0	0.32727418937816244	0.4915414134163906	0.8125812938254475	0.9602470444468245	0.6329728550686621	True
4	500579	clean_s0	color_cast_s2	0	0.13829971143796482	0.21132503577332976	0.6746977920475938	0.6843263098590987	0.5460265984211339	True
5	500579	color_cast_s2	color_cast_s2	0	0.2681578254490776	0.7399681646098325	0.4945507263955022	0.7915519473833026	0.523394121934225	True
6	79011	clean_s0	gamma_s2	0	0.6564675659143102	0.6585368535534873	0.6795437340334993	0.7022255527537012	0.04575798683939103	True
7	79011	gamma_s2	gamma_s2	0	0.5399286344669832	0.56434749660692	0.5875209148282462	0.5876727579678143	0.047744123500831015	True
8	322952	clean_s0	contrast_s2	0	0.29221562840052434	0.9306510762076089	0.5816905864618964	0.9350255541643836	0.6428099257638593	True
9	322952	contrast_s2	contrast_s2	0	0.9144442748756694	0.967647442496445	0.9488578687361195	0.9693171248577905	0.054872849982121163	True
10	165638	clean_s0	color_cast_s2	0	0.09864124817232324	0.3149560098573072	0.7900738765692817	0.8022684969770641	0.7036272488047409	True
11	165638	color_cast_s2	color_cast_s2	0	0.3475727628422374	0.4164763290632471	0.8215494144229453	0.8858933434414226	0.5383205805991851	True
12	480602	clean_s0	gamma_s2	0	0.08041111412756068	0.4685057107675735	0.08041248296937083	0.4773167215808471	0.3969056074532864	True
13	480602	gamma_s2	gamma_s2	0	0.9741539029795112	0.9778668353958485	0.9768103794806612	0.9860948128033269	0.011940909823815682	True
