id,exact_title,authors,venue_and_metadata,primary_url,additional_primary_urls,role
P01,NC-TTT: A Noise Constrastive Approach for Test-Time Training,"David Osowiechi, Gustavo A. Vargas Hakim, Mehrdad Noori, Milad Cheraghalikhani, Ali Bahri, Moslem Yazdanpanah, Ismail Ben Ayed, Christian Desrosiers","[CVPR 2024, pp.6078–6086](https://openaccess.thecvf.com/content/CVPR2024/html/Osowiechi_NC-TTT_A_Noise_Constrastive_Approach_for_Test-Time_Training_CVPR_2024_paper.html); [author manuscript §3](https://arxiv.org/html/2404.08392v1). Proceedings spelling is “Constrastive”; arXiv uses “Contrastive” and its v1 author list differs. Bibliography follows proceedings.",https://openaccess.thecvf.com/content/CVPR2024/html/Osowiechi_NC-TTT_A_Noise_Constrastive_Approach_for_Test-Time_Training_CVPR_2024_paper.html,https://arxiv.org/html/2404.08392v1,seed
P02,Depth-aware Test-Time Training for Zero-shot Video Object Segmentation,"Weihuang Liu, Xi Shen, Haolun Li, Xiuli Bi, Bo Liu, Chi-Man Pun, Xiaodong Cun","[CVPR 2024, pp.19218–19227](https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Depth-aware_Test-Time_Training_for_Zero-shot_Video_Object_Segmentation_CVPR_2024_paper.html); [author manuscript §4–5](https://arxiv.org/html/2403.04258v1)",https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Depth-aware_Test-Time_Training_for_Zero-shot_Video_Object_Segmentation_CVPR_2024_paper.html,https://arxiv.org/html/2403.04258v1,seed
P03,"What, How, and When Should Object Detectors Update in Continually Changing Test Domains?","Jayeon Yoo, Dongkwan Lee, Inseop Chung, Donghyun Kim, Nojun Kwak",[CVPR 2024 paper](https://openaccess.thecvf.com/content/CVPR2024/papers/Yoo_What_How_and_When_Should_Object_Detectors_Update_in_Continually_CVPR_2024_paper.pdf); [author manuscript §3](https://arxiv.org/html/2312.08875v1). Preprint first appeared in 2023; conference year is 2024.,https://openaccess.thecvf.com/content/CVPR2024/papers/Yoo_What_How_and_When_Should_Object_Detectors_Update_in_Continually_CVPR_2024_paper.pdf,https://arxiv.org/html/2312.08875v1,seed
P04,Efficient Test-time Adaptive Object Detection via Sensitivity-Guided Pruning,"Kunyu Wang, Xueyang Fu, Xin Lu, Chengjie Ge, Chengzhi Cao, Wei Zhai, Zheng-Jun Zha",[CVPR 2025 paper](https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_Efficient_Test-time_Adaptive_Object_Detection_via_Sensitivity-Guided_Pruning_CVPR_2025_paper.pdf); [author manuscript §3.3–3.5](https://arxiv.org/html/2506.02462v1),https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_Efficient_Test-time_Adaptive_Object_Detection_via_Sensitivity-Guided_Pruning_CVPR_2025_paper.pdf,https://arxiv.org/html/2506.02462v1,seed
P05,Adaptive Dual Uncertainty Optimization: Boosting Monocular 3D Object Detection under Test-Time Shifts,"Zixuan Hu, Dongxiao Li, Xinzhu Ma, Shixiang Tang, Xiaotong Li, Wenhan Yang, Ling-Yu Duan","[ICCV 2025, pp.7273–7283](https://openaccess.thecvf.com/content/ICCV2025/html/Hu_Adaptive_Dual_Uncertainty_Optimization_Boosting_Monocular_3D_Object_Detection_under_ICCV_2025_paper.html); [DUO manuscript §4–6](https://arxiv.org/html/2508.20488v1)",https://openaccess.thecvf.com/content/ICCV2025/html/Hu_Adaptive_Dual_Uncertainty_Optimization_Boosting_Monocular_3D_Object_Detection_under_ICCV_2025_paper.html,https://arxiv.org/html/2508.20488v1,seed
P06,InsCal: Calibrated Multi-Source Fully Test-Time Prompt Tuning for Object Detection,"Xiaofan Que, Dingrong Wang, Xumin Liu, Qi Yu","[CVPR 2026, pp.36936–36946](https://openaccess.thecvf.com/content/CVPR2026/html/Que_InsCal_Calibrated_Multi-Source_Fully_Test-Time_Prompt_Tuning_for_Object_Detection_CVPR_2026_paper.html); [official supplement](https://openaccess.thecvf.com/content/CVPR2026/supplemental/Que_InsCal_Calibrated_Multi-Source_CVPR_2026_supplemental.pdf). Earlier anonymous ICLR submission is not evidence of ICLR acceptance.",https://openaccess.thecvf.com/content/CVPR2026/html/Que_InsCal_Calibrated_Multi-Source_Fully_Test-Time_Prompt_Tuning_for_Object_Detection_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/supplemental/Que_InsCal_Calibrated_Multi-Source_CVPR_2026_supplemental.pdf,seed
P07,CD-Buffer: Complementary Dual-Buffer Framework for Test-Time Adaptation in Adverse Weather Object Detection,"Youngjun Song, Hyeongyu Kim, Dosik Hwang","[CVPR 2026, pp.15050–15059](https://openaccess.thecvf.com/content/CVPR2026/html/Song_CD-Buffer_Complementary_Dual-Buffer_Framework_for_Test-Time_Adaptation_in_Adverse_Weather_CVPR_2026_paper.html); [author manuscript §3](https://arxiv.org/html/2603.26092v1)",https://openaccess.thecvf.com/content/CVPR2026/html/Song_CD-Buffer_Complementary_Dual-Buffer_Framework_for_Test-Time_Adaptation_in_Adverse_Weather_CVPR_2026_paper.html,https://arxiv.org/html/2603.26092v1,seed
P08,ViT³: Unlocking Test-Time Training in Vision,"Dongchen Han, Yining Li, Tianyu Li, Zixuan Cao, Ziming Wang, Jun Song, Yu Cheng, Bo Zheng, Gao Huang","[CVPR 2026 paper](https://openaccess.thecvf.com/content/CVPR2026/papers/Han_ViT3_Unlocking_Test-Time_Training_in_Vision_CVPR_2026_paper.pdf); [author manuscript v2 §3–5, §8](https://arxiv.org/html/2512.01643v2)",https://openaccess.thecvf.com/content/CVPR2026/papers/Han_ViT3_Unlocking_Test-Time_Training_in_Vision_CVPR_2026_paper.pdf,https://arxiv.org/html/2512.01643v2,seed
P09,AdaptiveISP: Learning an Adaptive Image Signal Processor for Object Detection,"Yujin Wang, Tianyi Xu, Fan Zhang, Tianfan Xue, Jinwei Gu",[NeurIPS 2024 main proceedings](https://proceedings.neurips.cc/paper_files/paper/2024/hash/cc596a803bedc7a03a87e98c77a22efe-Abstract-Conference.html); [full paper §3 and supplement](https://proceedings.neurips.cc/paper_files/paper/2024/file/cc596a803bedc7a03a87e98c77a22efe-Paper-Conference.pdf),https://proceedings.neurips.cc/paper_files/paper/2024/hash/cc596a803bedc7a03a87e98c77a22efe-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/cc596a803bedc7a03a87e98c77a22efe-Paper-Conference.pdf,independent addition
P10,Each Test Image Deserves A Specific Prompt: Continual Test-Time Adaptation for 2D Medical Image Segmentation,"Ziyang Chen, Yongsheng Pan, Yiwen Ye, Mengkang Lu, Yong Xia","[CVPR 2024, pp.11184–11193](https://openaccess.thecvf.com/content/CVPR2024/html/Chen_Each_Test_Image_Deserves_A_Specific_Prompt_Continual_Test-Time_Adaptation_CVPR_2024_paper.html) — VPTTA",https://openaccess.thecvf.com/content/CVPR2024/html/Chen_Each_Test_Image_Deserves_A_Specific_Prompt_Continual_Test-Time_Adaptation_CVPR_2024_paper.html,,independent addition
