[autodl] run_id=20260912-144439-taisp-t009-coco1000
[autodl] started_at=2026-09-12T14:44:47+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/liujianhua/wjq/TAISP/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
loading annotations into memory...
Done (t=0.34s)
creating index...
index created!
completed 1/1000 image_id=776 elapsed=6.4s
completed 2/1000 image_id=1353 elapsed=12.2s
completed 3/1000 image_id=2261 elapsed=18.0s
completed 4/1000 image_id=2473 elapsed=23.9s
completed 5/1000 image_id=2592 elapsed=29.9s
completed 6/1000 image_id=3255 elapsed=35.7s
completed 7/1000 image_id=3934 elapsed=41.6s
completed 8/1000 image_id=4765 elapsed=46.6s
completed 9/1000 image_id=6771 elapsed=52.4s
completed 10/1000 image_id=7088 elapsed=58.2s
completed 11/1000 image_id=7795 elapsed=63.9s
completed 12/1000 image_id=7888 elapsed=69.2s
completed 13/1000 image_id=8211 elapsed=75.0s
completed 14/1000 image_id=9769 elapsed=80.5s
completed 15/1000 image_id=9772 elapsed=86.2s
completed 16/1000 image_id=10363 elapsed=92.4s
completed 17/1000 image_id=10995 elapsed=97.9s
completed 18/1000 image_id=11051 elapsed=103.5s
completed 19/1000 image_id=11197 elapsed=109.5s
completed 20/1000 image_id=11511 elapsed=115.3s
completed 21/1000 image_id=12120 elapsed=121.2s
completed 22/1000 image_id=12280 elapsed=126.7s
completed 23/1000 image_id=13177 elapsed=132.7s
completed 24/1000 image_id=13291 elapsed=138.5s
completed 25/1000 image_id=14380 elapsed=144.4s
completed 26/1000 image_id=14473 elapsed=150.2s
completed 27/1000 image_id=15338 elapsed=156.2s
completed 28/1000 image_id=15517 elapsed=161.7s
completed 29/1000 image_id=16439 elapsed=167.5s
completed 30/1000 image_id=16958 elapsed=173.5s
completed 31/1000 image_id=17436 elapsed=179.3s
completed 32/1000 image_id=17959 elapsed=185.3s
completed 33/1000 image_id=18150 elapsed=191.1s
completed 34/1000 image_id=18193 elapsed=196.8s
completed 35/1000 image_id=18837 elapsed=202.5s
completed 36/1000 image_id=19742 elapsed=208.3s
completed 37/1000 image_id=20059 elapsed=214.6s
completed 38/1000 image_id=20107 elapsed=220.6s
completed 39/1000 image_id=21903 elapsed=226.2s
completed 40/1000 image_id=22479 elapsed=231.7s
completed 41/1000 image_id=22589 elapsed=237.2s
completed 42/1000 image_id=22623 elapsed=242.4s
completed 43/1000 image_id=24144 elapsed=248.2s
completed 44/1000 image_id=25096 elapsed=253.9s
completed 45/1000 image_id=25139 elapsed=260.0s
completed 46/1000 image_id=25593 elapsed=265.6s
completed 47/1000 image_id=25603 elapsed=271.3s
completed 48/1000 image_id=26204 elapsed=277.4s
completed 49/1000 image_id=26465 elapsed=283.0s
completed 50/1000 image_id=26690 elapsed=289.1s
completed 51/1000 image_id=26926 elapsed=295.0s
completed 52/1000 image_id=28452 elapsed=300.7s
completed 53/1000 image_id=28809 elapsed=306.0s
completed 54/1000 image_id=30213 elapsed=312.5s
completed 55/1000 image_id=30675 elapsed=318.5s
completed 56/1000 image_id=30828 elapsed=324.4s
completed 57/1000 image_id=31217 elapsed=330.2s
completed 58/1000 image_id=31248 elapsed=336.2s
completed 59/1000 image_id=31620 elapsed=341.9s
completed 60/1000 image_id=31749 elapsed=347.2s
completed 61/1000 image_id=31817 elapsed=353.2s
completed 62/1000 image_id=32081 elapsed=358.7s
completed 63/1000 image_id=32887 elapsed=364.5s
completed 64/1000 image_id=33104 elapsed=370.1s
completed 65/1000 image_id=33638 elapsed=376.1s
completed 66/1000 image_id=33854 elapsed=382.1s
completed 67/1000 image_id=34452 elapsed=387.9s
completed 68/1000 image_id=34760 elapsed=393.6s
completed 69/1000 image_id=35062 elapsed=399.6s
completed 70/1000 image_id=36494 elapsed=405.6s
completed 71/1000 image_id=37670 elapsed=411.3s
completed 72/1000 image_id=37777 elapsed=417.7s
completed 73/1000 image_id=38576 elapsed=423.8s
completed 74/1000 image_id=38829 elapsed=429.6s
completed 75/1000 image_id=39551 elapsed=435.6s
completed 76/1000 image_id=39956 elapsed=441.4s
completed 77/1000 image_id=40471 elapsed=447.2s
completed 78/1000 image_id=41488 elapsed=452.4s
completed 79/1000 image_id=41888 elapsed=457.8s
completed 80/1000 image_id=42102 elapsed=463.1s
completed 81/1000 image_id=42528 elapsed=468.6s
completed 82/1000 image_id=44068 elapsed=474.3s
completed 83/1000 image_id=44195 elapsed=480.0s
completed 84/1000 image_id=45070 elapsed=485.0s
completed 85/1000 image_id=45090 elapsed=490.7s
completed 86/1000 image_id=45728 elapsed=496.4s
completed 87/1000 image_id=47585 elapsed=502.2s
completed 88/1000 image_id=47801 elapsed=507.4s
completed 89/1000 image_id=48555 elapsed=513.2s
completed 90/1000 image_id=49060 elapsed=519.3s
completed 91/1000 image_id=49810 elapsed=525.4s
completed 92/1000 image_id=50326 elapsed=531.2s
completed 93/1000 image_id=50638 elapsed=537.4s
completed 94/1000 image_id=50811 elapsed=542.9s
completed 95/1000 image_id=51314 elapsed=548.7s
completed 96/1000 image_id=51326 elapsed=554.8s
completed 97/1000 image_id=51712 elapsed=561.3s
completed 98/1000 image_id=51976 elapsed=567.3s
completed 99/1000 image_id=52413 elapsed=573.1s
completed 100/1000 image_id=52462 elapsed=579.1s
completed 101/1000 image_id=52591 elapsed=585.3s
completed 102/1000 image_id=52891 elapsed=591.3s
completed 103/1000 image_id=53529 elapsed=597.4s
completed 104/1000 image_id=53909 elapsed=603.2s
completed 105/1000 image_id=54628 elapsed=609.0s
completed 106/1000 image_id=54967 elapsed=615.1s
completed 107/1000 image_id=55022 elapsed=620.9s
completed 108/1000 image_id=56344 elapsed=626.8s
completed 109/1000 image_id=57672 elapsed=632.6s
completed 110/1000 image_id=58539 elapsed=638.7s
completed 111/1000 image_id=60363 elapsed=644.5s
completed 112/1000 image_id=60835 elapsed=650.3s
completed 113/1000 image_id=60886 elapsed=656.3s
completed 114/1000 image_id=61108 elapsed=662.2s
completed 115/1000 image_id=61960 elapsed=668.5s
completed 116/1000 image_id=62353 elapsed=673.9s
completed 117/1000 image_id=62554 elapsed=680.0s
