config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
no_adapt,aggregate,source,gamma_s1,23.518976897689768,36.0519801980198,25.65181518151815,0.0,0.0,0.0,1.2073957395739576,0.09563456345634824,7.2824782478247805
no_adapt,aggregate,source,gamma_s2,20.50817581758176,36.13236323632363,16.584158415841586,0.0,0.0,0.0,-0.5865586558655878,0.0,-1.4026402640264002
no_adapt,aggregate,source,contrast_s1,23.21463932107496,47.96852899575672,18.935643564356436,0.0,0.0,0.0,2.9331683168316776,12.5,-8.16831683168317
no_adapt,aggregate,source,contrast_s2,26.76258250825082,65.79001650165017,7.013201320132012,0.0,0.0,0.0,0.37526520509193473,-0.5642975011786788,-2.8052805280528044
no_adapt,aggregate,source,color_cast_s1,20.91501650165016,35.396039603960396,23.59735973597359,0.0,0.0,0.0,-2.2186468646864714,-1.4438943894389489,-1.051980198019803
no_adapt,aggregate,source,color_cast_s2,19.879537953795378,36.05610561056106,22.896039603960396,0.0,0.0,0.0,0.30174446016029977,0.3771805752003865,0.0
no_adapt,aggregate,source,clean_s0,23.83800880088009,35.17601760176018,28.86413641364137,0.0,0.0,0.0,0.11398014801480283,-2.1327132713271304,-0.22002200220021528
no_adapt,aggregate,target,gamma_s1,33.0515815867301,60.78677510608203,27.135838583858384,0.0,0.0,0.0,-0.03488646056524214,-0.7189694533363156,-0.10018674281221385
no_adapt,aggregate,target,gamma_s2,33.556935237190125,59.514380009429516,27.04902197536827,0.0,0.0,0.0,0.13874688927465462,0.0454514092524283,0.16085238917888378
no_adapt,aggregate,target,contrast_s1,42.34087090027684,57.29481739382729,39.10203520352035,0.0,0.0,0.0,-0.1800055005500567,-1.3325082508250818,0.0
no_adapt,aggregate,target,contrast_s2,28.314293929392935,57.98267326732673,22.8506600660066,0.0,0.0,0.0,-11.33207965221456,-0.3768287276488813,-12.520627062706263
no_adapt,aggregate,target,color_cast_s1,47.48151573246303,64.67131015427124,46.917240637107184,0.0,0.0,0.0,0.5661295509877429,1.1712101442702405,0.9925588832175092
no_adapt,aggregate,target,color_cast_s2,42.91855256954267,60.182303944680186,38.66886688668867,0.0,0.0,0.0,-0.0063649222065031985,-0.021216407355018063,0.0
no_adapt,aggregate,target,clean_s0,48.48899889988999,64.9601210121012,49.44444444444444,0.0,0.0,0.0,0.340441736481345,-0.01618431073877602,0.0
no_adapt,aggregate,ssd,gamma_s1,23.074422442244224,48.63083451202263,16.707920792079207,0.0,0.0,0.0,0.33416627377023667,1.0373251610875378,0.0
no_adapt,aggregate,ssd,gamma_s2,22.635680234690135,46.38338833883388,12.5,0.0,0.0,0.0,-0.004125412541253204,-0.7425742574257432,0.0
no_adapt,aggregate,ssd,contrast_s1,11.277464085931138,36.59510662604722,4.36976389946687,0.0,0.0,0.0,0.05437094328354097,0.02997094581252968,0.005994189162505936
no_adapt,aggregate,ssd,contrast_s2,21.82534872480383,42.999071074155474,12.5,0.0,0.0,0.0,0.03735944200458641,0.41106227327539213,-0.13573938038965172
no_adapt,aggregate,ssd,color_cast_s1,38.2066325053558,61.85180360141278,41.584158415841586,0.0,0.0,0.0,12.712225921840304,14.946666659147123,24.876237623762375
no_adapt,aggregate,ssd,color_cast_s2,33.910225233049616,57.71061316657982,41.584158415841586,0.0,0.0,0.0,0.0,0.0,0.0
no_adapt,aggregate,ssd,clean_s0,26.698336995167082,52.02104267498709,16.707920792079207,0.0,0.0,0.0,0.1649755546274223,0.6786969019482614,0.0
no_adapt,block_1,source,gamma_s1,15.895431648428,26.422615945805106,18.218690290081643,0.0,0.0,0.0,2.434564133105041,0.21092334797389034,14.611901039728037
no_adapt,block_1,source,gamma_s2,11.084983498349835,26.663916391639162,0.0,0.0,0.0,0.0,-1.192244224422441,0.0,-2.805280528052805
no_adapt,block_1,source,contrast_s1,17.00327551552148,27.78046601652646,21.03960396039604,0.0,0.0,0.0,0.0,0.0,0.0
no_adapt,block_1,source,contrast_s2,15.191831683168317,31.58003300330033,14.026402640264028,0.0,0.0,0.0,-0.3385785007072123,-1.1285950023573854,0.0
no_adapt,block_1,source,color_cast_s1,14.404290429042904,25.0,14.026402640264028,0.0,0.0,0.0,1.4537953795379561,1.3201320132013223,-2.103960396039606
no_adapt,block_1,source,color_cast_s2,11.49174917491749,26.32013201320132,12.623762376237622,0.0,0.0,0.0,0.6034889203206038,0.7543611504007564,0.0
no_adapt,block_1,source,clean_s0,15.671067106710671,24.559955995599562,24.559955995599562,0.0,0.0,0.0,-1.4552080208020817,-4.2654265426542635,-0.4400440044004389
