config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
no_adapt,no_adapt,,0.0,0.0,0.0,0.0,0.0,0.02767846899223514,0.05071016533232372,,0.0,0,0.0,0.3353947001843018,4,0.11398014801480283,0.0,0,0.0,-1.8080766825456607,2,0.340441736481345,0.0,0,0.0,2.188999528059569,4,0.1649755546274223,0,0
full_hybrid,full_hybrid,,1.0,1.0,1.0,0.028837466146796942,1.0,0.3149545664928155,0.3269775780790951,,-0.3353947001843018,2,-0.11398014801480283,0.0,0,0.0,1.8080766825456607,4,-0.340441736481345,0.0,0,0.0,-2.188999528059569,1,-0.1649755546274223,0.0,0,0.0,1,0
clip_norm_high_25,clip_norm,high,0.25,0.5,0.16666666666666666,0.023192597553133965,0.5,0.20497031150443945,0.1538812672442873,,-0.10347284728472832,1,0.7276040104010395,0.23192185289957346,3,0.8415841584158423,-0.017310071451568747,1,0.06797410510281376,-1.8253867539972297,1,0.4084158415841588,-0.05500681020483058,1,-0.1649755546274223,2.1339927178547384,3,0.0,0,0
clip_norm_high_50,clip_norm,high,0.5,0.5,0.5,0.023192597553133965,0.5,0.20497031150443945,0.22334653949656058,,-0.19640758718728982,2,0.7276040104010395,0.13898711299701189,3,0.8415841584158423,-0.09798505458043227,2,0.06797410510281376,-1.906061737126093,0,0.4084158415841588,-0.0986670771162726,1,-0.1649755546274223,2.0903324509432966,2,0.0,0,0
clip_norm_high_75,clip_norm,high,0.75,0.5,0.75,0.023192597553133965,0.5,0.20497031150443945,0.2777667750803327,,0.20375742931436114,2,0.7276040104010395,0.5391521294986629,2,0.8415841584158423,1.7770149454195676,2,0.06797410510281376,-0.03106173712609332,0,0.4084158415841588,-2.179937704178979,1,-0.1649755546274223,0.009061823880590162,1,0.0,1,0
clip_norm_low_25,clip_norm,low,0.25,0.5,0.16666666666666666,0.005644868593662977,0.5,0.2091245934861945,0.15004275133105693,,-0.05029074336004996,0,-0.8415841584158396,0.28510395682425177,3,-0.7276040104010367,0.03106173712609332,2,-0.4084158415841588,-1.7770149454195676,2,-0.06797410510281376,0.00544824781623469,1,0.0,2.194447775875804,4,0.1649755546274223,1,1
clip_norm_low_50,clip_norm,low,0.5,0.5,0.5,0.005644868593662977,0.5,0.2091245934861945,0.2227760874981565,,-0.13898711299701189,1,-0.8415841584158396,0.19640758718728982,2,-0.7276040104010367,1.906061737126093,3,-0.4084158415841588,0.09798505458043227,2,-0.06797410510281376,-2.0903324509432966,0,0.0,0.0986670771162726,3,0.1649755546274223,2,1
clip_norm_low_75,clip_norm,low,0.75,0.5,0.75,0.005644868593662977,0.5,0.2091245934861945,0.2742134913326784,,-0.11077223793807776,1,-0.8415841584158396,0.22462246224622395,2,-0.7276040104010367,1.9187833951801458,3,-0.4084158415841588,0.11070671263448499,2,-0.06797410510281376,-2.0965590246107273,0,0.0,0.09244050344884153,2,0.1649755546274223,2,0
det_norm_high_25,det_norm,high,0.25,0.0,0.25,0.0,0.0,0.09914033849781845,0.1735652844993941,,0.40016501650165104,1,0.0,0.7355597166859527,4,0.11398014801480283,1.8749999999999998,1,0.0,0.06692331745433895,2,0.340441736481345,-2.081270627062706,0,0.0,0.10772890099686276,4,0.1649755546274223,1,0
det_norm_high_50,det_norm,high,0.5,0.5,0.5,0.023192597553133965,0.5,0.20497031150443945,0.22529144116560929,,-0.2098459845984576,1,0.7276040104010395,0.12554871558584416,2,0.8415841584158423,1.780645074835376,1,0.06797410510281376,-0.027431607710284855,1,0.4084158415841588,-2.1332143920035422,0,-0.1649755546274223,0.05578513605602695,2,0.0,1,0
