config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
no_adapt,aggregate,source,0.0,0,0.0,0.3353947001843018,4,0.11398014801480283
no_adapt,aggregate,target,0.0,0,0.0,-1.8080766825456607,2,0.340441736481345
no_adapt,aggregate,ssd,0.0,0,0.0,2.188999528059569,4,0.1649755546274223
no_adapt,block_1,source,0.0,0,0.0,0.49350428463899126,3,-1.4552080208020817
no_adapt,block_1,target,0.0,0,0.0,0.13308825254840342,2,-0.1396961558504023
no_adapt,block_1,ssd,0.0,0,0.0,0.18643765860007425,3,0.329951109254846
no_adapt,block_2,source,0.0,0,0.0,0.17739273927392704,2,1.6831683168316847
no_adapt,block_2,target,0.0,0,0.0,-3.7499999999999987,0,0.8168316831683176
no_adapt,block_2,ssd,0.0,0,0.0,4.191561397519061,2,0.0
full_hybrid,aggregate,source,-0.3353947001843018,2,-0.11398014801480283,0.0,0,0.0
full_hybrid,aggregate,target,1.8080766825456607,4,-0.340441736481345,0.0,0,0.0
full_hybrid,aggregate,ssd,-2.188999528059569,1,-0.1649755546274223,0.0,0,0.0
full_hybrid,block_1,source,-0.49350428463899126,2,1.4552080208020817,0.0,0,0.0
full_hybrid,block_1,target,-0.13308825254840342,4,0.1396961558504023,0.0,0,0.0
full_hybrid,block_1,ssd,-0.18643765860007425,2,-0.329951109254846,0.0,0,0.0
full_hybrid,block_2,source,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
full_hybrid,block_2,target,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
full_hybrid,block_2,ssd,-4.191561397519061,0,0.0,0.0,0,0.0
clip_norm_high_25,aggregate,source,-0.10347284728472832,1,0.7276040104010395,0.23192185289957346,3,0.8415841584158423
clip_norm_high_25,aggregate,target,-0.017310071451568747,1,0.06797410510281376,-1.8253867539972297,1,0.4084158415841588
clip_norm_high_25,aggregate,ssd,-0.05500681020483058,1,-0.1649755546274223,2.1339927178547384,3,0.0
clip_norm_high_25,block_1,source,-0.2070533181137667,1,1.4552080208020817,0.2864509665252246,2,0.0
clip_norm_high_25,block_1,target,-0.03548017920194819,1,0.1396961558504023,0.09760807334645526,1,0.0
clip_norm_high_25,block_1,ssd,-0.11001362040965983,1,-0.329951109254846,0.07642403819041442,2,0.0
clip_norm_high_25,block_2,source,0.0,0,0.0,0.17739273927392704,2,1.6831683168316847
clip_norm_high_25,block_2,target,0.0,0,0.0,-3.7499999999999987,0,0.8168316831683176
clip_norm_high_25,block_2,ssd,0.0,0,0.0,4.191561397519061,2,0.0
clip_norm_high_50,aggregate,source,-0.19640758718728982,2,0.7276040104010395,0.13898711299701189,3,0.8415841584158423
clip_norm_high_50,aggregate,target,-0.09798505458043227,2,0.06797410510281376,-1.906061737126093,0,0.4084158415841588
clip_norm_high_50,aggregate,ssd,-0.0986670771162726,1,-0.1649755546274223,2.0903324509432966,2,0.0
clip_norm_high_50,block_1,source,-0.3929227979188907,2,1.4552080208020817,0.10058148672010063,1,0.0
clip_norm_high_50,block_1,target,-0.19521172680059098,2,0.1396961558504023,-0.06212347425218756,0,0.0
clip_norm_high_50,block_1,ssd,-0.19733415423254327,1,-0.329951109254846,-0.010896495632469033,0,0.0
clip_norm_high_50,block_2,source,0.0,0,0.0,0.17739273927392704,2,1.6831683168316847
clip_norm_high_50,block_2,target,0.0,0,0.0,-3.7499999999999987,0,0.8168316831683176
clip_norm_high_50,block_2,ssd,0.0,0,0.0,4.191561397519061,2,0.0
clip_norm_high_75,aggregate,source,0.20375742931436114,2,0.7276040104010395,0.5391521294986629,2,0.8415841584158423
clip_norm_high_75,aggregate,target,1.7770149454195676,2,0.06797410510281376,-0.03106173712609332,0,0.4084158415841588
clip_norm_high_75,aggregate,ssd,-2.179937704178979,1,-0.1649755546274223,0.009061823880590162,1,0.0
clip_norm_high_75,block_1,source,-0.3929227979188907,2,1.4552080208020817,0.10058148672010063,1,0.0
clip_norm_high_75,block_1,target,-0.19521172680059098,2,0.1396961558504023,-0.06212347425218756,0,0.0
clip_norm_high_75,block_1,ssd,-0.19733415423254327,1,-0.329951109254846,-0.010896495632469033,0,0.0
clip_norm_high_75,block_2,source,0.8003300330033002,1,0.0,0.9777227722772271,1,1.6831683168316847
clip_norm_high_75,block_2,target,3.7499999999999987,1,0.0,0.0,0,0.8168316831683176
clip_norm_high_75,block_2,ssd,-4.162541254125411,0,0.0,0.029020143393649705,1,0.0
clip_norm_low_25,aggregate,source,-0.05029074336004996,0,-0.8415841584158396,0.28510395682425177,3,-0.7276040104010367
clip_norm_low_25,aggregate,target,0.03106173712609332,2,-0.4084158415841588,-1.7770149454195676,2,-0.06797410510281376
clip_norm_low_25,aggregate,ssd,0.00544824781623469,1,0.0,2.194447775875804,4,0.1649755546274223
clip_norm_low_25,block_1,source,-0.10058148672010063,0,0.0,0.3929227979188907,2,-1.4552080208020817
clip_norm_low_25,block_1,target,0.06212347425218756,2,0.0,0.19521172680059098,2,-0.1396961558504023
clip_norm_low_25,block_1,ssd,0.010896495632469033,1,0.0,0.19733415423254327,3,0.329951109254846
clip_norm_low_25,block_2,source,0.0,0,-1.6831683168316847,0.17739273927392704,2,0.0
clip_norm_low_25,block_2,target,0.0,0,-0.8168316831683176,-3.7499999999999987,0,0.0
clip_norm_low_25,block_2,ssd,0.0,0,0.0,4.191561397519061,2,0.0
