config,group,detector,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_full_hybrid,AP50_delta_full_hybrid,AP75_delta_full_hybrid
no_adapt,aggregate,source,gamma_s1,36.89313250897423,58.45976369009905,40.20299341446007,0.0,0.0,0.0,-0.22475703694929683,-0.1814972099795642,-0.18184503389599982
no_adapt,aggregate,source,gamma_s2,35.29640495926713,56.23940572343311,37.034281480713936,0.0,0.0,0.0,0.018302670458980597,0.05646325709168787,-0.8941504185066784
no_adapt,aggregate,source,contrast_s1,36.010448247016846,57.101974580571515,38.896678856219324,0.0,0.0,0.0,0.03225271932416618,-0.06591473242586465,-0.0637510384531137
no_adapt,aggregate,source,contrast_s2,31.14807324638586,50.38569025984197,32.8715351819676,0.0,0.0,0.0,-0.11296457083981304,-0.2597487669608656,-0.286085594401958
no_adapt,aggregate,source,color_cast_s1,36.533427662095406,58.20825233849129,39.99014949553724,0.0,0.0,0.0,-0.027375950310803976,-0.063165943295318,0.24002735054960977
no_adapt,aggregate,source,color_cast_s2,35.657998610988784,56.84824611506449,37.998965498300116,0.0,0.0,0.0,-0.08855094951014664,-0.12842121532454787,-0.17871676955821814
no_adapt,aggregate,source,clean_s0,37.57784341727398,59.43137286572653,40.281906676511234,0.0,0.0,0.0,0.017910704859031013,0.1014312091500491,0.05983418417963016
no_adapt,aggregate,target,gamma_s1,38.19271478359937,57.48869166857514,39.48443689466523,0.0,0.0,0.0,-0.0899436906216855,-0.05973562862927606,-0.04109264742278018
no_adapt,aggregate,target,gamma_s2,36.5540975421435,55.33695633803395,37.67061955969205,0.0,0.0,0.0,0.10536047338832177,-0.030258020635443028,0.2508043549290073
no_adapt,aggregate,target,contrast_s1,37.612096240386975,56.51031864726084,38.419792188867106,0.0,0.0,0.0,-0.1182905722793004,0.004267608553309987,-0.28863641953503216
no_adapt,aggregate,target,contrast_s2,33.100939938529656,50.16808257707651,33.594524028610145,0.0,0.0,0.0,-0.1952265145748644,-0.23286145333845099,-0.37588368928889726
no_adapt,aggregate,target,color_cast_s1,38.15204260897872,57.13586062471988,40.4166214062572,0.0,0.0,0.0,-0.03339859245776178,-0.08340192629622267,0.09095364130221051
no_adapt,aggregate,target,color_cast_s2,36.87347295866096,55.31322729159021,38.92313037963233,0.0,0.0,0.0,-0.0901307453078648,-0.06769347732002995,-0.11701179458906141
