config,score,orientation,nominal_coverage,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,promising_rule_met,source_macro_AP_delta_no_adapt,source_positive_conditions_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP_delta_full_hybrid,source_positive_conditions_full_hybrid,source_clean_AP_delta_full_hybrid,target_macro_AP_delta_no_adapt,target_positive_conditions_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP_delta_full_hybrid,target_positive_conditions_full_hybrid,target_clean_AP_delta_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_positive_conditions_full_hybrid,ssd_clean_AP_delta_full_hybrid,target_positive_blocks,ssd_positive_blocks
no_adapt,no_adapt,,0.0,0.0,0.0,0.0,0.0,0.02769636450498365,0.028007085880531427,False,0.0,0,0.0,-0.06718218630448562,2,0.017910704859031013,0.0,0,0.0,-0.07027160697552585,1,-0.06094732073553821,0.0,0,0.0,-0.032160728803563854,1,0.0041213336793327615,0,0
full_hybrid,full_hybrid,,1.0,1.0,1.0,0.036655454281019045,0.993,0.3137933691007493,0.3142064461344174,False,0.06718218630448562,4,-0.017910704859031013,0.0,0,0.0,0.07027160697552585,5,0.06094732073553821,0.0,0,0.0,0.032160728803563854,5,-0.0041213336793327615,0.0,0,0.0,4,4
clip_norm_high_25,clip_norm,high,0.25,0.328,0.237,0.018924349792301655,0.325,0.16982338259043173,0.15062340969705837,False,0.010798533250983936,2,-0.07973299265127687,-0.05638365305350168,0,-0.061822287792245856,0.032877622732625324,5,0.061404043629376126,-0.037393984242900524,1,0.0004567228938379131,0.017993696680594178,4,-0.03829670531262652,-0.014167032122969677,1,-0.03417537163329376,4,3
clip_norm_high_50,clip_norm,high,0.5,0.57,0.48833333333333334,0.027608989954926073,0.565,0.22150002226638027,0.2044843231900692,False,0.05310945460741771,4,-0.07130764203800988,-0.014072731697067908,0,-0.053396937178978865,0.06301337342597413,5,0.1012328576576016,-0.007258233549551722,3,0.04028553692206338,0.017303099669323713,3,-0.0462121439464086,-0.014857629134240139,2,-0.04209081026707584,4,4
clip_norm_high_75,clip_norm,high,0.75,0.787,0.7438333333333333,0.03311131828743964,0.78,0.26812695732945574,0.25934921706349995,False,0.04829884062459525,4,-0.05646015370053825,-0.018883345679890362,2,-0.03854944884150724,0.07284229048169777,5,0.09272697736965041,0.002570683506171919,5,0.0317796566341122,0.02815636361935085,4,-0.017241985840554808,-0.004004365184213006,2,-0.013120652161222046,4,5
clip_norm_low_25,clip_norm,low,0.25,0.213,0.25616666666666665,0.0035441359935794027,0.213,0.14524559417695854,0.1547315615814053,False,-0.04579211318177697,3,0.02527398522836899,-0.11297429948626259,2,0.0431846900874,0.006887026023559099,2,-0.012545640184163931,-0.06338458095196675,1,-0.07349296091970214,0.006149694553729083,4,0.025237488044460576,-0.02601103424983477,2,0.029358821723793338,4,2
clip_norm_low_50,clip_norm,low,0.5,0.43,0.5116666666666667,0.009046464326092973,0.428,0.19187252924003406,0.20959645545483604,True,-0.04388137168176339,4,0.04597974268348293,-0.111063557986249,2,0.06389044754251394,0.02444566301134099,4,-0.010248996537348676,-0.04582594396418486,1,-0.07119631727288689,0.011389110748837953,4,0.03281463215061842,-0.0207716180547259,2,0.03693596582995118,4,4
clip_norm_low_75,clip_norm,low,0.75,0.672,0.763,0.01773110448871739,0.668,0.24354916891598258,0.2634573689478469,False,0.05468341438397417,5,0.02969368180867349,-0.012498771920511445,4,0.0476043866677045,0.04127567552916304,5,0.0261727411850321,-0.02899593144636281,2,-0.03477457955050611,0.012369039365849044,4,0.03171481469818882,-0.01979168943771481,2,0.03583614837752158,4,4
det_norm_high_25,det_norm,high,0.25,0.226,0.254,0.008867769246455283,0.226,0.14793459712073673,0.15432098518322163,False,0.030178631044909993,4,-0.048623478999049174,-0.037003555259575625,3,-0.030712774140018162,0.02100557699277102,4,0.04595992799622528,-0.04926602998275483,1,-0.014987392739312932,0.006320388100062672,3,-0.008330273643686326,-0.02584034070350118,2,-0.004208939964353564,4,3
det_norm_high_50,det_norm,high,0.5,0.477,0.5038333333333334,0.01775729601690546,0.477,0.20173922588943968,0.20817670430339058,False,0.007319635586746272,4,-0.02044257537936467,-0.05986255071773935,3,-0.0025318705203336567,0.04365248042515202,5,0.06801603328190908,-0.026619126550373833,2,0.00706871254637087,0.024204129725306778,5,0.01741162704739785,-0.007956599078257076,3,0.02153296072673061,4,3
