config,group,detector,macro_AP_delta_no_adapt,positive_conditions_no_adapt,clean_AP_delta_no_adapt,macro_AP_delta_full_hybrid,positive_conditions_full_hybrid,clean_AP_delta_full_hybrid
no_adapt,aggregate,source,0.0,0,0.0,-0.06718218630448562,2,0.017910704859031013
no_adapt,aggregate,target,0.0,0,0.0,-0.07027160697552585,1,-0.06094732073553821
no_adapt,aggregate,ssd,0.0,0,0.0,-0.032160728803563854,1,0.0041213336793327615
no_adapt,block_1,source,0.0,0,0.0,0.05432015277478478,5,0.1937218515975614
no_adapt,block_1,target,0.0,0,0.0,-0.09353710922433515,3,-0.06763660872516342
no_adapt,block_1,ssd,0.0,0,0.0,0.004576703674828246,4,0.0022872659529216133
no_adapt,block_2,source,0.0,0,0.0,-0.07824841242118075,1,0.33789851342210797
no_adapt,block_2,target,0.0,0,0.0,-0.16205201242082043,2,0.18503401623164994
no_adapt,block_2,ssd,0.0,0,0.0,-0.05537225799836417,2,0.016205566225080403
no_adapt,block_3,source,0.0,0,0.0,-0.016425670755208326,3,-0.050046663880282116
no_adapt,block_3,target,0.0,0,0.0,0.0508453638863704,3,0.09898385253052644
no_adapt,block_3,ssd,0.0,0,0.0,-0.08386667783990924,2,-0.08128136471882708
no_adapt,block_4,source,0.0,0,0.0,-0.020437615415785,3,-0.08838341533973781
no_adapt,block_4,target,0.0,0,0.0,-0.09823789993711012,2,-0.13989045240972442
no_adapt,block_4,ssd,0.0,0,0.0,-0.03162499907197932,3,0.19399016071162678
no_adapt,block_5,source,0.0,0,0.0,-0.031520043027453516,2,-0.035965234795054535
no_adapt,block_5,target,0.0,0,0.0,-0.08069252025735181,2,-0.2701307896020244
no_adapt,block_5,ssd,0.0,0,0.0,-0.024436258446653796,2,0.07780028778214265
full_hybrid,aggregate,source,0.06718218630448562,4,-0.017910704859031013,0.0,0,0.0
full_hybrid,aggregate,target,0.07027160697552585,5,0.06094732073553821,0.0,0,0.0
full_hybrid,aggregate,ssd,0.032160728803563854,5,-0.0041213336793327615,0.0,0,0.0
full_hybrid,block_1,source,-0.05432015277478478,1,-0.1937218515975614,0.0,0,0.0
full_hybrid,block_1,target,0.09353710922433515,3,0.06763660872516342,0.0,0,0.0
full_hybrid,block_1,ssd,-0.004576703674828246,2,-0.0022872659529216133,0.0,0,0.0
full_hybrid,block_2,source,0.07824841242118075,5,-0.33789851342210797,0.0,0,0.0
full_hybrid,block_2,target,0.16205201242082043,4,-0.18503401623164994,0.0,0,0.0
full_hybrid,block_2,ssd,0.05537225799836417,4,-0.016205566225080403,0.0,0,0.0
full_hybrid,block_3,source,0.016425670755208326,3,0.050046663880282116,0.0,0,0.0
full_hybrid,block_3,target,-0.0508453638863704,3,-0.09898385253052644,0.0,0,0.0
full_hybrid,block_3,ssd,0.08386667783990924,4,0.08128136471882708,0.0,0,0.0
full_hybrid,block_4,source,0.020437615415785,3,0.08838341533973781,0.0,0,0.0
full_hybrid,block_4,target,0.09823789993711012,4,0.13989045240972442,0.0,0,0.0
full_hybrid,block_4,ssd,0.03162499907197932,3,-0.19399016071162678,0.0,0,0.0
full_hybrid,block_5,source,0.031520043027453516,4,0.035965234795054535,0.0,0,0.0
full_hybrid,block_5,target,0.08069252025735181,4,0.2701307896020244,0.0,0,0.0
full_hybrid,block_5,ssd,0.024436258446653796,4,-0.07780028778214265,0.0,0,0.0
clip_norm_high_25,aggregate,source,0.010798533250983936,2,-0.07973299265127687,-0.05638365305350168,0,-0.061822287792245856
clip_norm_high_25,aggregate,target,0.032877622732625324,5,0.061404043629376126,-0.037393984242900524,1,0.0004567228938379131
clip_norm_high_25,aggregate,ssd,0.017993696680594178,4,-0.03829670531262652,-0.014167032122969677,1,-0.03417537163329376
clip_norm_high_25,block_1,source,-0.04881095233252678,3,0.06532226665749707,0.005509200442258,3,0.25904411825505846
clip_norm_high_25,block_1,target,0.03049547344273947,3,-0.04310384158693892,-0.06304163578159568,3,-0.11074045031210233
clip_norm_high_25,block_1,ssd,-0.012598142070005536,2,-0.03692552661630488,-0.00802143839517729,4,-0.03463826066338327
clip_norm_high_25,block_2,source,-0.045288739903018294,2,-0.7632833106912984,-0.12353715232419904,1,-0.42538479726919043
clip_norm_high_25,block_2,target,0.13494818399314712,3,-0.2375372035883172,-0.0271038284276733,2,-0.05250318735666726
clip_norm_high_25,block_2,ssd,0.06378325326434527,3,0.012441213061242795,0.008410995265981103,1,0.0286467792863232
clip_norm_high_25,block_3,source,0.07327529877235821,3,0.1260672714162081,0.05684962801714988,3,0.07602060753592599
clip_norm_high_25,block_3,target,-0.023857045454955816,2,-0.21449622942635305,0.026988318431414582,3,-0.11551237689582661
clip_norm_high_25,block_3,ssd,0.04270015996659567,3,-0.1759882437683269,-0.04116651787331357,2,-0.25726960848715397
clip_norm_high_25,block_4,source,-0.028766161127985468,3,0.008383248871629556,-0.04920377654377047,3,-0.08000016646810826
clip_norm_high_25,block_4,target,0.0860590983823591,3,0.012674202461698814,-0.012178801554751003,2,-0.1272162499480256
clip_norm_high_25,block_4,ssd,0.03431494806313227,4,-0.21347832137709744,0.0026899489911529537,2,-0.019488160665470655
clip_norm_high_25,block_5,source,0.013122674455481875,5,-0.07391491574598175,-0.018397368571971644,2,-0.10988015054103628
clip_norm_high_25,block_5,target,0.03419535304991043,3,0.08515364312624563,-0.04649716720744138,3,-0.1849771464757788
clip_norm_high_25,block_5,ssd,-0.04177030668392201,3,-0.10174690737814185,-0.06620656513057581,2,-0.023946619595999197
clip_norm_high_50,aggregate,source,0.05310945460741771,4,-0.07130764203800988,-0.014072731697067908,0,-0.053396937178978865
clip_norm_high_50,aggregate,target,0.06301337342597413,5,0.1012328576576016,-0.007258233549551722,3,0.04028553692206338
clip_norm_high_50,aggregate,ssd,0.017303099669323713,3,-0.0462121439464086,-0.014857629134240139,2,-0.04209081026707584
clip_norm_high_50,block_1,source,-0.06249460888285707,1,-0.21371455042926146,-0.008174456108072289,3,-0.019992698831700073
clip_norm_high_50,block_1,target,0.07584522667070474,4,0.07262552650186271,-0.01769188255363041,4,0.004988917776699298
clip_norm_high_50,block_1,ssd,-0.021416414803263062,2,0.04591941967649893,-0.016839711128434815,3,0.04820668562942054
clip_norm_high_50,block_2,source,0.013407618366319726,4,-0.8486413007276317,-0.06484079405486103,2,-0.5107427873055237
clip_norm_high_50,block_2,target,0.13092407765323463,3,-0.17966120117822726,-0.031127934767585796,1,0.005372815053422686
clip_norm_high_50,block_2,ssd,0.07780016412883006,5,-0.04732059507859265,0.022427906130465896,3,-0.03111502885351225
clip_norm_high_50,block_3,source,0.1911835053054071,3,0.03921696508805694,0.17475783455019878,4,-0.010829698792225173
clip_norm_high_50,block_3,target,-0.05426258709439469,2,-0.05439682806056556,-0.0034172232080242892,3,0.04458702446996088
clip_norm_high_50,block_3,ssd,0.07277956969444499,4,-0.15603282122529927,-0.011087108145464245,2,-0.23731418594412634
clip_norm_high_50,block_4,source,-0.03094651784020519,4,0.07913524158895124,-0.05138413325599019,2,-0.00924817375078657
clip_norm_high_50,block_4,target,0.1088037760329702,3,0.10754033768016202,0.01056587609586009,3,-0.032350114729562396
clip_norm_high_50,block_4,ssd,0.02214241486552711,5,-0.24817204937868653,-0.009482584206452205,2,-0.05418188866705975
clip_norm_high_50,block_5,source,0.01566228880147587,2,-0.003197766731954932,-0.015857754225977645,1,-0.03916300152700947
clip_norm_high_50,block_5,target,0.09261088201966046,5,0.16325511781946633,0.011918361762308649,2,-0.10687567178255808
