config,role,seed,clean_coverage,corruption_coverage,clean_effective_phi3,clean_nonzero_phi_fraction,clean_latency_estimate_seconds,corruption_latency_estimate_seconds,target_positive_blocks,ssd_positive_blocks,source_macro_AP_delta_no_adapt,source_clean_AP_delta_no_adapt,source_macro_AP50_delta_no_adapt,source_clean_AP50_delta_no_adapt,source_macro_AP75_delta_no_adapt,source_clean_AP75_delta_no_adapt,source_positive_conditions_no_adapt,source_macro_AP_delta_full_hybrid,source_clean_AP_delta_full_hybrid,source_macro_AP50_delta_full_hybrid,source_clean_AP50_delta_full_hybrid,source_macro_AP75_delta_full_hybrid,source_clean_AP75_delta_full_hybrid,source_positive_conditions_full_hybrid,target_macro_AP_delta_no_adapt,target_clean_AP_delta_no_adapt,target_macro_AP50_delta_no_adapt,target_clean_AP50_delta_no_adapt,target_macro_AP75_delta_no_adapt,target_clean_AP75_delta_no_adapt,target_positive_conditions_no_adapt,target_macro_AP_delta_full_hybrid,target_clean_AP_delta_full_hybrid,target_macro_AP50_delta_full_hybrid,target_clean_AP50_delta_full_hybrid,target_macro_AP75_delta_full_hybrid,target_clean_AP75_delta_full_hybrid,target_positive_conditions_full_hybrid,ssd_macro_AP_delta_no_adapt,ssd_clean_AP_delta_no_adapt,ssd_macro_AP50_delta_no_adapt,ssd_clean_AP50_delta_no_adapt,ssd_macro_AP75_delta_no_adapt,ssd_clean_AP75_delta_no_adapt,ssd_positive_conditions_no_adapt,ssd_macro_AP_delta_full_hybrid,ssd_clean_AP_delta_full_hybrid,ssd_macro_AP50_delta_full_hybrid,ssd_clean_AP50_delta_full_hybrid,ssd_macro_AP75_delta_full_hybrid,ssd_clean_AP75_delta_full_hybrid,ssd_positive_conditions_full_hybrid,R012_rule_met
no_adapt,anchor,,0.0,0.0,0.0,0.0,0.02769636450498365,0.028007085880531427,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06718218630448562,0.017910704859031013,-0.10704743514907873,0.1014312091500491,-0.22742025071105973,0.05983418417963016,2,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.07027160697552585,-0.06094732073553821,-0.07828048294435212,-0.04005631834886891,-0.08014442576742553,-0.2474250223821861,1,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.032160728803563854,0.0041213336793327615,-0.07884506292992477,0.05138722315151112,0.04745143513218928,0.006933787152552107,1,False
full_hybrid,anchor,,1.0,1.0,0.036655454281019045,0.993,0.3137933691007493,0.3142064461344174,4,4,0.06718218630448562,-0.017910704859031013,0.10704743514907873,-0.1014312091500491,0.22742025071105973,-0.05983418417963016,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07027160697552585,0.06094732073553821,0.07828048294435212,0.04005631834886891,0.08014442576742553,0.2474250223821861,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.032160728803563854,-0.0041213336793327615,0.07884506292992477,-0.05138722315151112,-0.04745143513218928,-0.006933787152552107,5,0.0,0.0,0.0,0.0,0.0,0.0,0,False
support_confidence_low_50,anchor,,0.497,0.5005,0.017600069291424006,0.49,0.16982689061391285,0.1706061027475856,4,5,0.07857403849694893,-0.014278819541863053,0.06257384235309009,-0.13005237264283043,0.276396209225994,0.06748456884358434,6,0.011391852192463303,0.00363188531716796,-0.04447359279598865,-0.02862116349278132,0.04897595851493427,0.1273187530232145,3,0.0367931176901611,0.0741003865401435,0.04831891233663862,0.09613218133815993,0.013306684295850505,-0.025323472405003322,5,-0.03347848928536475,0.01315306580460529,-0.0299615706077135,0.056075862989291014,-0.06683774147157502,-0.27274849478718943,1,0.03292636368797397,0.01571122362068189,0.0714578066266051,-0.05032257047957733,-0.007344746914804412,-0.016351860501784277,4,0.0007656348844101157,0.019832557300014653,-0.007387256303319674,0.0010646526719337857,0.04010668821738487,-0.00941807334923217,3,True
random_2026091600,random,2026091600,0.497,0.5005,0.017890305768465623,0.492,0.17030364576302237,0.1713394426422504,3,4,0.0489764422647504,0.012143071289177909,0.04059569747587958,-0.07700034401521005,0.2429371819179895,0.03680619792248985,4,-0.01820574403973522,0.03005377614820892,-0.06645173767319916,0.024430865134839053,0.015516931206929763,0.09664038210212,2,0.02830648966158089,0.07301511870510535,0.02591096411879897,0.03704658400253136,0.012968675909657187,0.20692484321936377,5,-0.04196511731394496,0.01206779796956714,-0.05236951882555315,-0.003009734346337556,-0.06717574985776835,-0.040500179162822336,1,0.03349406646260683,-0.03740759721154452,0.04492814012873788,-0.0742170767142003,-0.012858138574642816,-0.03269379446046994,5,0.0013333376590429769,-0.03328626353221176,-0.03391692280118689,-0.022829853562689184,0.03459329655754647,-0.02576000730791783,3,False
random_2026091601,random,2026091601,0.497,0.5005,0.01825951581937261,0.493,0.1699816659479402,0.1713399702122212,4,4,-0.0472490371928036,0.0026134192490590014,-0.06492734647456921,-0.0029412479990220675,0.023175422380010875,-0.07361164756872762,3,-0.11443122349728922,0.020524124108090014,-0.17197478162364796,0.09848996115102704,-0.20424482833104884,-0.013777463389097466,1,0.049633666151809495,0.06757018034997397,0.06752834479289797,0.04441308899627572,0.07259042144885375,0.10838255531108176,4,-0.020637940823716356,0.006622859614435761,-0.01075213815145415,0.004356770647406805,-0.007554004318571783,-0.13904246707110435,1,0.011646719385773052,0.006235812641178229,0.035751552556768464,-0.03633556042080266,-0.04170158439351599,-0.01617188997549146,5,-0.0205140094177908,0.01035714632051099,-0.043093510373156306,0.01505166273070846,0.00574985073867329,-0.009238102822939354,3,True
random_2026091602,random,2026091602,0.497,0.5005,0.01793221093714237,0.493,0.1696562755003688,0.17112509996623945,4,4,0.03320982124613755,-0.0461092074407532,0.06486025693646646,-0.1316692244940021,0.16646338824942986,0.028204872036963202,3,-0.033972365058348074,-0.028198502581722185,-0.042187178212612274,-0.030238015343952984,-0.06095686246162987,0.08803905621659336,2,0.04558511745460514,0.020933360956232328,0.051307832638406804,0.015823932723679768,0.05990400513574227,-0.01637262742939516,5,-0.024686489520920712,-0.040013959779305885,-0.02697265030594531,-0.024232385625189146,-0.02024042063168326,-0.26379764981158127,1,0.03031243233988142,0.016749244090155657,0.07630934448440985,-0.012796858269437106,-0.032169137141800176,0.004290919762661716,4,-0.0018482964636824344,0.02087057776948842,-0.002535718445514923,0.03859036488207401,0.015282297990389104,0.011224706915213822,2,True
random_2026091603,random,2026091603,0.497,0.5005,0.018713051720056682,0.493,0.17008057059301063,0.17150812592388925,5,4,-0.025600178785103084,-0.08478718200558011,-0.029822283188922032,-0.14615305461425088,0.11644497519666674,-0.037275903414019096,4,-0.0927823650895887,-0.0668764771465491,-0.13686971833800077,-0.04472184546420177,-0.11097527551439297,0.02255828076561106,2,0.04554393201865089,0.05463220503767463,0.05180285717316102,0.06368094741772135,0.0728487258402355,0.1427281885952869,5,-0.024727674956874963,-0.0063151156978635825,-0.026477625771191098,0.023624629068852432,-0.007295699927190036,-0.1046968337868992,3,0.006468409720113606,0.016214959576385524,0.021892587778307715,0.01405979665243251,-0.048739330776485325,0.022613871490279047,2,-0.02569231908345025,0.020336293255718285,-0.056952475151617055,0.06544701980394363,-0.0012878956442960443,0.029547658642831154,2,True
random_2026091604,random,2026091604,0.497,0.5005,0.017345118110533804,0.495,0.16987334740170626,0.1711973010407528,5,3,0.004499881560235397,-0.026317636500877706,0.04365957358664074,-0.016633481862293742,-0.012852860631736482,-0.030013023695152352,3,-0.06268230474425023,-0.008406931641846693,-0.06338786156243799,0.08479772728775536,-0.2402731113427962,0.029821160484477804,0,0.052098004575113856,0.004804891004256406,0.03719918212106895,-0.04460763610311114,0.041621347996304014,0.12115637436194704,5,-0.018173602400411992,-0.05614242973128181,-0.04108130082328317,-0.08466395445198005,-0.03852307777112152,-0.12626864802023907,2,0.025434397224644023,0.025636875918955138,0.059895899637049665,-0.018076352912343996,-0.00021967746837436852,0.053076672935603586,4,-0.006726331578919831,0.0297582095982879,-0.018949163292875104,0.03331087023916712,0.04723175766381491,0.06001046008815569,4,False
random_2026091605,random,2026091605,0.497,0.5005,0.0171871922519058,0.496,0.17052756269782549,0.1713708305915837,3,3,-0.014002109552579967,-0.08802196297020282,-0.06950143753556663,-0.11293908584060208,0.1336393503670393,-0.0967914772688594,4,-0.08118429585706559,-0.0701112581111718,-0.17654887268464536,-0.011507876690552976,-0.09378090034402042,-0.03695729308922924,2,0.027449412303633586,0.03104987458955044,0.06327276468481118,-0.01640957694174494,-0.016104048537759114,0.18468881556668038,4,-0.042822194671892265,-0.02989744614598777,-0.015007718259540948,-0.056465895290613854,-0.09624847430518464,-0.06273620681550574,1,0.013918235202028487,0.017785469494238648,-0.004792617304571108,-0.04150815877005387,0.03035755601194697,0.014017137998190154,4,-0.018242493601535365,0.02190680317357141,-0.08363768023449587,0.009879064381457248,0.07780899114413625,0.02095092515074226,2,False
random_2026091606,random,2026091606,0.497,0.5005,0.018062510448973626,0.494,0.17037374842280406,0.1710420211270442,4,2,0.006166299096548496,-0.01527231233577897,-0.021058181767565538,-0.06848794563955041,-0.03399324734010648,0.06532154781412891,4,-0.061015887207937124,0.002638392523252042,-0.12810561691664427,0.0329432635104987,-0.2614134980511662,0.12515573199375907,1,0.04106297783333657,0.01755888732488109,0.014568175086334309,-0.026833962696137803,0.016666544752771035,0.1803096412390015,4,-0.029208629142189284,-0.04338843341065712,-0.0637123078580178,-0.06689028104500672,-0.0634778810146545,-0.0671153811431846,2,-0.008949150765021988,-0.011458193752053591,0.0041221025378808855,-0.03915634976339177,-0.06339145953778759,0.013929206420471019,2,-0.04110987956858584,-0.00733686007272083,-0.07472296039204389,0.012230873388119345,-0.015940024405598312,0.020862993573023125,1,False
