config,role,group,detector,macro_AP_delta_no_adapt,clean_AP_delta_no_adapt,macro_AP50_delta_no_adapt,clean_AP50_delta_no_adapt,macro_AP75_delta_no_adapt,clean_AP75_delta_no_adapt,positive_conditions_no_adapt,macro_AP_delta_full_hybrid,clean_AP_delta_full_hybrid,macro_AP50_delta_full_hybrid,clean_AP50_delta_full_hybrid,macro_AP75_delta_full_hybrid,clean_AP75_delta_full_hybrid,positive_conditions_full_hybrid
no_adapt,anchor,aggregate,source,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06718218630448562,0.017910704859031013,-0.10704743514907873,0.1014312091500491,-0.22742025071105973,0.05983418417963016,2
no_adapt,anchor,aggregate,target,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.07027160697552585,-0.06094732073553821,-0.07828048294435212,-0.04005631834886891,-0.08014442576742553,-0.2474250223821861,1
no_adapt,anchor,aggregate,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.032160728803563854,0.0041213336793327615,-0.07884506292992477,0.05138722315151112,0.04745143513218928,0.006933787152552107,1
no_adapt,anchor,block_1,source,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05432015277478478,0.1937218515975614,-0.0127502071952168,0.24225031411464482,0.3098142876978081,-0.12199198184332238,5
no_adapt,anchor,block_1,target,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.09353710922433515,-0.06763660872516342,-0.1327342031625082,0.04228651369464487,0.07277371029351387,-0.4768603719864095,3
no_adapt,anchor,block_1,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004576703674828246,0.0022872659529216133,-0.10689909853266917,0.056591876891814996,-0.08061539067189723,-0.03348681076058013,4
no_adapt,anchor,block_2,source,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.07824841242118075,0.33789851342210797,0.13773540098866074,0.1895569911871009,-0.25728433610092044,0.3622087342521396,1
no_adapt,anchor,block_2,target,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.16205201242082043,0.18503401623164994,-0.1862296055316496,0.29570008884238774,-0.08112596284339153,0.176408090189889,2
no_adapt,anchor,block_2,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.05537225799836417,0.016205566225080403,0.03261938131517058,-0.011613671279048221,-0.02873494378845635,0.142178076310151,2
no_adapt,anchor,block_3,source,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.016425670755208326,-0.050046663880282116,-0.04949804773139813,0.04885235803353538,0.25901400257157997,0.21385965068685953,3
no_adapt,anchor,block_3,target,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0508453638863704,0.09898385253052644,-0.012174204078848247,-0.1170702948108171,-0.0156810951601342,-0.815883976689219,3
no_adapt,anchor,block_3,ssd,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.08386667783990924,-0.08128136471882708,-0.18866288253793126,-0.08900364422102514,0.059256980625418954,-0.048168301836415406,2
no_adapt,anchor,block_4,source,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.020437615415785,-0.08838341533973781,0.039058390537557074,-0.13423868187750765,-0.39477896049635675,-0.19565500633369481,3
no_adapt,anchor,block_4,target,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.09823789993711012,-0.13989045240972442,0.019384462687742816,-0.14296491286147628,-0.2039771611993165,0.3897726437584903,2
