group,detector,variant,case,AP,AP50,AP75,AP_delta_no_adapt,AP50_delta_no_adapt,AP75_delta_no_adapt,AP_delta_det_pseudo_clip_radius,AP50_delta_det_pseudo_clip_radius,AP75_delta_det_pseudo_clip_radius
aggregate,source,no_adapt,gamma_s1,23.518976897689768,36.0519801980198,25.65181518151815,0.0,0.0,0.0,1.2073957395739576,0.09563456345634824,7.2824782478247805
aggregate,source,no_adapt,gamma_s2,20.50817581758176,36.13236323632363,16.584158415841586,0.0,0.0,0.0,-0.5865586558655878,0.0,-1.4026402640264002
aggregate,source,no_adapt,contrast_s1,23.21463932107496,47.96852899575672,18.935643564356436,0.0,0.0,0.0,2.9331683168316776,12.5,-8.16831683168317
aggregate,source,no_adapt,contrast_s2,26.76258250825082,65.79001650165017,7.013201320132012,0.0,0.0,0.0,0.37526520509193473,-0.5642975011786788,-2.8052805280528044
aggregate,source,no_adapt,color_cast_s1,20.91501650165016,35.396039603960396,23.59735973597359,0.0,0.0,0.0,-2.2186468646864714,-1.4438943894389489,-1.051980198019803
aggregate,source,no_adapt,color_cast_s2,19.879537953795378,36.05610561056106,22.896039603960396,0.0,0.0,0.0,0.30174446016029977,0.3771805752003865,0.0
aggregate,source,no_adapt,clean_s0,23.83800880088009,35.17601760176018,28.86413641364137,0.0,0.0,0.0,0.11398014801480283,-2.1327132713271304,-0.22002200220021528
aggregate,source,det_pseudo_clip_radius,gamma_s1,22.31158115811581,35.956345634563455,18.36933693369337,-1.2073957395739576,-0.09563456345634824,-7.2824782478247805,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,gamma_s2,21.094734473447346,36.13236323632363,17.986798679867984,0.5865586558655878,0.0,1.4026402640264002,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,contrast_s1,20.281471004243283,35.46852899575672,27.103960396039607,-2.9331683168316776,-12.5,8.16831683168317,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,contrast_s2,26.387317303158888,66.35431400282886,9.818481848184817,-0.37526520509193473,0.5642975011786788,2.8052805280528044,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,color_cast_s1,23.13366336633663,36.83993399339934,24.649339933993396,2.2186468646864714,1.4438943894389489,1.051980198019803,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,color_cast_s2,19.577793493635077,35.67892503536068,22.896039603960396,-0.30174446016029977,-0.3771805752003865,0.0,0.0,0.0,0.0
aggregate,source,det_pseudo_clip_radius,clean_s0,23.724028652865286,37.308730873087306,29.084158415841582,-0.11398014801480283,2.1327132713271304,0.22002200220021528,0.0,0.0,0.0
aggregate,source,det_pseudo_half_dose,gamma_s1,22.47713342762848,36.001885902876005,18.38755304101839,-1.0418434700612877,-0.05009429514379882,-7.264262140499761,0.16555226951266988,0.045540268312549426,0.01821610732501977
aggregate,source,det_pseudo_half_dose,gamma_s2,20.9461543980485,36.090782991342614,16.584158415841586,0.4379785804667413,-0.041580244981015424,0.0,-0.14858007539884643,-0.041580244981015424,-1.4026402640264002
aggregate,source,det_pseudo_half_dose,contrast_s1,23.21463932107496,47.96852899575672,18.935643564356436,0.0,0.0,0.0,2.9331683168316776,12.5,-8.16831683168317
aggregate,source,det_pseudo_half_dose,contrast_s2,26.21802805280528,65.79001650165017,9.818481848184817,-0.5445544554455395,0.0,2.8052805280528044,-0.16928925035360476,-0.5642975011786788,0.0
aggregate,source,det_pseudo_half_dose,color_cast_s1,24.03747160430329,39.69557670052719,23.59735973597359,3.1224551026531264,4.299537096566796,0.0,0.9038082379666551,2.855642707127848,-1.051980198019803
aggregate,source,det_pseudo_half_dose,color_cast_s2,19.879537953795378,36.05610561056106,22.896039603960396,0.0,0.0,0.0,0.30174446016029977,0.3771805752003865,0.0
aggregate,source,det_pseudo_half_dose,clean_s0,23.785753575357536,37.12871287128713,28.86413641364137,-0.05225522552255446,1.9526952695269495,0.0,0.06172492249224837,-0.18001800180018068,-0.22002200220021528
aggregate,target,no_adapt,gamma_s1,33.0515815867301,60.78677510608203,27.135838583858384,0.0,0.0,0.0,-0.03488646056524214,-0.7189694533363156,-0.10018674281221385
aggregate,target,no_adapt,gamma_s2,33.556935237190125,59.514380009429516,27.04902197536827,0.0,0.0,0.0,0.13874688927465462,0.0454514092524283,0.16085238917888378
aggregate,target,no_adapt,contrast_s1,42.34087090027684,57.29481739382729,39.10203520352035,0.0,0.0,0.0,-0.1800055005500567,-1.3325082508250818,0.0
aggregate,target,no_adapt,contrast_s2,28.314293929392935,57.98267326732673,22.8506600660066,0.0,0.0,0.0,-11.33207965221456,-0.3768287276488813,-12.520627062706263
aggregate,target,no_adapt,color_cast_s1,47.48151573246303,64.67131015427124,46.917240637107184,0.0,0.0,0.0,0.5661295509877429,1.1712101442702405,0.9925588832175092
aggregate,target,no_adapt,color_cast_s2,42.91855256954267,60.182303944680186,38.66886688668867,0.0,0.0,0.0,-0.0063649222065031985,-0.021216407355018063,0.0
aggregate,target,no_adapt,clean_s0,48.48899889988999,64.9601210121012,49.44444444444444,0.0,0.0,0.0,0.340441736481345,-0.01618431073877602,0.0
