group,detector,variant,no_adapt_macro_corruption_AP_delta,no_adapt_positive_corruption_count,no_adapt_clean_AP_delta,det_pseudo_clip_radius_macro_corruption_AP_delta,det_pseudo_clip_radius_positive_corruption_count,det_pseudo_clip_radius_clean_AP_delta
aggregate,source,no_adapt,0.0,0,0.0,0.3353947001843018,4,0.11398014801480283
aggregate,source,det_pseudo_clip_radius,-0.3353947001843018,2,-0.11398014801480283,0.0,0,0.0
aggregate,source,det_pseudo_half_dose,0.32900595960217344,2,-0.05225522552255446,0.6644006597864752,4,0.06172492249224837
aggregate,target,no_adapt,0.0,0,0.0,-1.8080766825456607,2,0.340441736481345
aggregate,target,det_pseudo_clip_radius,1.8080766825456607,4,-0.340441736481345,0.0,0,0.0
aggregate,target,det_pseudo_half_dose,1.833429359459961,4,-0.4084158415841588,0.02535267691430032,3,-0.06797410510281376
aggregate,ssd,no_adapt,0.0,0,0.0,2.188999528059569,4,0.1649755546274223
aggregate,ssd,det_pseudo_clip_radius,-2.188999528059569,1,-0.1649755546274223,0.0,0,0.0
aggregate,ssd,det_pseudo_half_dose,-2.1006101416140432,1,-0.09710586443259506,0.08838938644552612,4,0.06786969019482725
block_1,source,no_adapt,0.0,0,0.0,0.49350428463899126,3,-1.4552080208020817
block_1,source,det_pseudo_clip_radius,-0.49350428463899126,2,1.4552080208020817,0.0,0,0.0
block_1,source,det_pseudo_half_dose,-0.14215039925045206,2,1.5786578657865786,0.3513538853885392,3,0.12344984498449674
block_1,target,no_adapt,0.0,0,0.0,0.13308825254840342,2,-0.1396961558504023
block_1,target,det_pseudo_clip_radius,-0.13308825254840342,4,0.1396961558504023,0.0,0,0.0
block_1,target,det_pseudo_half_dose,-0.08165141084853199,4,0.0,0.05143684169987145,3,-0.1396961558504023
block_1,ssd,no_adapt,0.0,0,0.0,0.18643765860007425,3,0.329951109254846
block_1,ssd,det_pseudo_clip_radius,-0.18643765860007425,2,-0.329951109254846,0.0,0,0.0
block_1,ssd,det_pseudo_half_dose,-0.009658885709025164,3,-0.19421172886519428,0.17677877289104907,4,0.13573938038965172
block_2,source,no_adapt,0.0,0,0.0,0.17739273927392704,2,1.6831683168316847
block_2,source,det_pseudo_clip_radius,-0.17739273927392704,1,-1.6831683168316847,0.0,0,0.0
block_2,source,det_pseudo_half_dose,0.8003300330033002,1,-1.6831683168316847,0.9777227722772271,1,0.0
block_2,target,no_adapt,0.0,0,0.0,-3.7499999999999987,0,0.8168316831683176
block_2,target,det_pseudo_clip_radius,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
block_2,target,det_pseudo_half_dose,3.7499999999999987,1,-0.8168316831683176,0.0,0,0.0
block_2,ssd,no_adapt,0.0,0,0.0,4.191561397519061,2,0.0
block_2,ssd,det_pseudo_clip_radius,-4.191561397519061,0,0.0,0.0,0,0.0
block_2,ssd,det_pseudo_half_dose,-4.191561397519061,0,0.0,0.0,0,0.0
