group,detector,variant,no_adapt_macro_corruption_AP_delta,no_adapt_positive_corruption_count,no_adapt_clean_AP_delta,det_pseudo_clip_radius_macro_corruption_AP_delta,det_pseudo_clip_radius_positive_corruption_count,det_pseudo_clip_radius_clean_AP_delta
aggregate,source,no_adapt,0.0,0,0.0,-0.06718218630448562,2,0.017910704859031013
aggregate,source,det_pseudo_clip_radius,0.06718218630448562,4,-0.017910704859031013,0.0,0,0.0
aggregate,source,det_pseudo_half_dose,0.059580526449007354,4,-0.056869864211706034,-0.007601659855478264,3,-0.03895915935267502
aggregate,target,no_adapt,0.0,0,0.0,-0.07027160697552585,1,-0.06094732073553821
aggregate,target,det_pseudo_clip_radius,0.07027160697552585,5,0.06094732073553821,0.0,0,0.0
aggregate,target,det_pseudo_half_dose,0.06175202115624908,5,0.022726625101054942,-0.008519585819276773,2,-0.03822069563448327
aggregate,ssd,no_adapt,0.0,0,0.0,-0.032160728803563854,1,0.0041213336793327615
aggregate,ssd,det_pseudo_clip_radius,0.032160728803563854,5,-0.0041213336793327615,0.0,0,0.0
aggregate,ssd,det_pseudo_half_dose,0.016939439793015505,5,-0.022981262792637347,-0.015221289010548348,3,-0.018859929113304585
block_1,source,no_adapt,0.0,0,0.0,0.05432015277478478,5,0.1937218515975614
block_1,source,det_pseudo_clip_radius,-0.05432015277478478,1,-0.1937218515975614,0.0,0,0.0
block_1,source,det_pseudo_half_dose,-0.04396026012565187,3,-0.08761966285533718,0.010359892649132915,2,0.10610218874222421
block_1,target,no_adapt,0.0,0,0.0,-0.09353710922433515,3,-0.06763660872516342
block_1,target,det_pseudo_clip_radius,0.09353710922433515,3,0.06763660872516342,0.0,0,0.0
block_1,target,det_pseudo_half_dose,0.019420702388152817,3,-0.07044757057982909,-0.07411640683618233,1,-0.1380841793049925
block_1,ssd,no_adapt,0.0,0,0.0,0.004576703674828246,4,0.0022872659529216133
block_1,ssd,det_pseudo_clip_radius,-0.004576703674828246,2,-0.0022872659529216133,0.0,0,0.0
block_1,ssd,det_pseudo_half_dose,-0.009081149702322433,2,0.011175814754044167,-0.004504446027494187,2,0.01346308070696578
block_2,source,no_adapt,0.0,0,0.0,-0.07824841242118075,1,0.33789851342210797
block_2,source,det_pseudo_clip_radius,0.07824841242118075,5,-0.33789851342210797,0.0,0,0.0
block_2,source,det_pseudo_half_dose,0.06414473419680822,5,-0.9018511910994009,-0.014103678224372529,2,-0.563952677677293
block_2,target,no_adapt,0.0,0,0.0,-0.16205201242082043,2,0.18503401623164994
block_2,target,det_pseudo_clip_radius,0.16205201242082043,4,-0.18503401623164994,0.0,0,0.0
block_2,target,det_pseudo_half_dose,0.11462880238668482,3,-0.21205700596190757,-0.0474232100341356,1,-0.02702298973025763
block_2,ssd,no_adapt,0.0,0,0.0,-0.05537225799836417,2,0.016205566225080403
block_2,ssd,det_pseudo_clip_radius,0.05537225799836417,4,-0.016205566225080403,0.0,0,0.0
block_2,ssd,det_pseudo_half_dose,0.0864052524893651,6,0.009194779309334988,0.031032994491000943,3,0.02540034553441539
block_3,source,no_adapt,0.0,0,0.0,-0.016425670755208326,3,-0.050046663880282116
block_3,source,det_pseudo_clip_radius,0.016425670755208326,3,0.050046663880282116,0.0,0,0.0
block_3,source,det_pseudo_half_dose,0.12546066113439855,4,-0.02332046825397338,0.10903499037919022,4,-0.0733671321342555
block_3,target,no_adapt,0.0,0,0.0,0.0508453638863704,3,0.09898385253052644
block_3,target,det_pseudo_clip_radius,-0.0508453638863704,3,-0.09898385253052644,0.0,0,0.0
block_3,target,det_pseudo_half_dose,0.06161049784155307,5,-0.09709903926204966,0.11245586172792348,5,0.0018848132684767815
block_3,ssd,no_adapt,0.0,0,0.0,-0.08386667783990924,2,-0.08128136471882708
block_3,ssd,det_pseudo_clip_radius,0.08386667783990924,4,0.08128136471882708,0.0,0,0.0
block_3,ssd,det_pseudo_half_dose,-0.015645101926795024,3,0.02231448620674259,-0.09951177976670426,1,-0.058966878512084486
block_4,source,no_adapt,0.0,0,0.0,-0.020437615415785,3,-0.08838341533973781
block_4,source,det_pseudo_clip_radius,0.020437615415785,3,0.08838341533973781,0.0,0,0.0
block_4,source,det_pseudo_half_dose,-0.06169189714102796,2,0.12276423053526053,-0.08212951255681296,2,0.03438081519552272
block_4,target,no_adapt,0.0,0,0.0,-0.09823789993711012,2,-0.13989045240972442
block_4,target,det_pseudo_clip_radius,0.09823789993711012,4,0.13989045240972442,0.0,0,0.0
block_4,target,det_pseudo_half_dose,0.03540475171158186,4,0.05771195330274703,-0.06283314822552825,1,-0.08217849910697739
block_4,ssd,no_adapt,0.0,0,0.0,-0.03162499907197932,3,0.19399016071162678
block_4,ssd,det_pseudo_clip_radius,0.03162499907197932,3,-0.19399016071162678,0.0,0,0.0
block_4,ssd,det_pseudo_half_dose,0.0311432850063668,5,-0.12905324638610716,-0.0004817140656125189,3,0.06493691432551962
block_5,source,no_adapt,0.0,0,0.0,-0.031520043027453516,2,-0.035965234795054535
block_5,source,det_pseudo_clip_radius,0.031520043027453516,4,0.035965234795054535,0.0,0,0.0
block_5,source,det_pseudo_half_dose,0.033968260872421774,4,-0.017917024652475133,0.0024482178449682554,4,-0.05388225944752967
block_5,target,no_adapt,0.0,0,0.0,-0.08069252025735181,2,-0.2701307896020244
block_5,target,det_pseudo_clip_radius,0.08069252025735181,4,0.2701307896020244,0.0,0,0.0
block_5,target,det_pseudo_half_dose,0.1719713313371026,6,0.0741893133232252,0.09127881107975078,5,-0.1959414762787992
block_5,ssd,no_adapt,0.0,0,0.0,-0.024436258446653796,2,0.07780028778214265
block_5,ssd,det_pseudo_clip_radius,0.024436258446653796,4,-0.07780028778214265,0.0,0,0.0
block_5,ssd,det_pseudo_half_dose,0.024969965660684434,4,-0.10169232262820516,0.0005337072140306395,3,-0.023892034846062504
