[autodl] run_id=20260913-161818-taisp-t018b-source500
[autodl] started_at=2026-09-13T16:18:24+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/liujianhua/wjq/TAISP/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
completed 1/500 image_id=300034 elapsed=5.8s
completed 2/500 image_id=337917 elapsed=10.6s
completed 3/500 image_id=429806 elapsed=15.8s
completed 4/500 image_id=45153 elapsed=20.5s
completed 5/500 image_id=444913 elapsed=25.6s
completed 6/500 image_id=209345 elapsed=31.2s
completed 7/500 image_id=110002 elapsed=36.6s
completed 8/500 image_id=487880 elapsed=42.1s
completed 9/500 image_id=447688 elapsed=47.4s
completed 10/500 image_id=153616 elapsed=52.6s
completed 11/500 image_id=103166 elapsed=57.9s
completed 12/500 image_id=220860 elapsed=63.4s
completed 13/500 image_id=164680 elapsed=69.1s
completed 14/500 image_id=327694 elapsed=74.6s
completed 15/500 image_id=505754 elapsed=80.4s
completed 16/500 image_id=325806 elapsed=85.7s
completed 17/500 image_id=80369 elapsed=91.4s
completed 18/500 image_id=404270 elapsed=96.9s
completed 19/500 image_id=201032 elapsed=102.4s
completed 20/500 image_id=191403 elapsed=107.9s
completed 21/500 image_id=155221 elapsed=113.5s
completed 22/500 image_id=39527 elapsed=119.2s
completed 23/500 image_id=261871 elapsed=124.8s
completed 24/500 image_id=553659 elapsed=130.4s
completed 25/500 image_id=307649 elapsed=135.9s
completed 26/500 image_id=140332 elapsed=141.4s
completed 27/500 image_id=409678 elapsed=147.1s
completed 28/500 image_id=247884 elapsed=152.8s
completed 29/500 image_id=185282 elapsed=158.3s
completed 30/500 image_id=105388 elapsed=164.2s
completed 31/500 image_id=443934 elapsed=169.6s
completed 32/500 image_id=74739 elapsed=175.2s
completed 33/500 image_id=104825 elapsed=179.7s
completed 34/500 image_id=143479 elapsed=185.3s
completed 35/500 image_id=179793 elapsed=190.9s
completed 36/500 image_id=111489 elapsed=196.6s
completed 37/500 image_id=120541 elapsed=202.3s
completed 38/500 image_id=11496 elapsed=207.9s
completed 39/500 image_id=444156 elapsed=213.5s
completed 40/500 image_id=47406 elapsed=219.2s
completed 41/500 image_id=468357 elapsed=224.9s
completed 42/500 image_id=469650 elapsed=230.0s
completed 43/500 image_id=251234 elapsed=235.7s
completed 44/500 image_id=56632 elapsed=241.4s
completed 45/500 image_id=242403 elapsed=246.9s
completed 46/500 image_id=493692 elapsed=252.6s
completed 47/500 image_id=393985 elapsed=258.0s
completed 48/500 image_id=381865 elapsed=261.4s
completed 49/500 image_id=472256 elapsed=267.0s
completed 50/500 image_id=273188 elapsed=272.5s
completed 51/500 image_id=293493 elapsed=278.2s
completed 52/500 image_id=372870 elapsed=284.0s
completed 53/500 image_id=456602 elapsed=289.7s
completed 54/500 image_id=190885 elapsed=294.8s
completed 55/500 image_id=300784 elapsed=300.3s
completed 56/500 image_id=292916 elapsed=305.7s
completed 57/500 image_id=493628 elapsed=311.4s
completed 58/500 image_id=295560 elapsed=317.1s
completed 59/500 image_id=47161 elapsed=322.6s
completed 60/500 image_id=144196 elapsed=328.1s
completed 61/500 image_id=405920 elapsed=333.6s
completed 62/500 image_id=35037 elapsed=339.3s
completed 63/500 image_id=354305 elapsed=344.9s
completed 64/500 image_id=72961 elapsed=350.6s
completed 65/500 image_id=163594 elapsed=356.2s
completed 66/500 image_id=362654 elapsed=361.7s
completed 67/500 image_id=314447 elapsed=367.4s
completed 68/500 image_id=207860 elapsed=373.0s
completed 69/500 image_id=55747 elapsed=378.7s
completed 70/500 image_id=574645 elapsed=384.4s
completed 71/500 image_id=574977 elapsed=390.1s
completed 72/500 image_id=205850 elapsed=395.6s
completed 73/500 image_id=412762 elapsed=401.3s
completed 74/500 image_id=407779 elapsed=407.0s
