[autodl] run_id=20260913-182636-taisp-t019a-source200-components
[autodl] started_at=2026-09-13T18:26:42+08:00
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
/home/liujianhua/wjq/TAISP/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1601: FutureWarning: `clean_up_tokenization_spaces` was not set. It will be set to `True` by default. This behavior will be depracted in transformers v4.45, and will be then set to `False` by default. For more details check this issue: https://github.com/huggingface/transformers/issues/31884
  warnings.warn(
/home/wenchang/anaconda3/envs/python3.12-tk2-2.3/lib/python3.12/site-packages/torch/cuda/__init__.py:654: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
completed 1/200 image_id=313220 elapsed=14.2s
completed 2/200 image_id=266562 elapsed=28.0s
completed 3/200 image_id=212403 elapsed=41.7s
completed 4/200 image_id=538798 elapsed=55.1s
completed 5/200 image_id=243160 elapsed=68.4s
completed 6/200 image_id=159828 elapsed=81.4s
completed 7/200 image_id=208815 elapsed=95.3s
completed 8/200 image_id=547614 elapsed=109.2s
completed 9/200 image_id=170436 elapsed=123.1s
completed 10/200 image_id=100607 elapsed=137.4s
completed 11/200 image_id=246573 elapsed=151.6s
completed 12/200 image_id=348203 elapsed=165.6s
completed 13/200 image_id=498645 elapsed=179.9s
completed 14/200 image_id=28044 elapsed=193.9s
completed 15/200 image_id=114535 elapsed=208.2s
completed 16/200 image_id=32356 elapsed=222.2s
completed 17/200 image_id=171857 elapsed=235.6s
completed 18/200 image_id=373492 elapsed=249.4s
completed 19/200 image_id=365427 elapsed=263.6s
completed 20/200 image_id=573795 elapsed=277.3s
completed 21/200 image_id=568068 elapsed=290.8s
completed 22/200 image_id=195525 elapsed=304.1s
completed 23/200 image_id=129037 elapsed=317.9s
completed 24/200 image_id=139440 elapsed=331.7s
completed 25/200 image_id=88572 elapsed=345.4s
completed 26/200 image_id=178872 elapsed=359.3s
completed 27/200 image_id=53712 elapsed=372.6s
completed 28/200 image_id=284148 elapsed=386.3s
completed 29/200 image_id=483027 elapsed=398.4s
completed 30/200 image_id=465418 elapsed=412.7s
completed 31/200 image_id=89638 elapsed=426.9s
completed 32/200 image_id=218802 elapsed=439.3s
completed 33/200 image_id=87266 elapsed=450.6s
completed 34/200 image_id=223500 elapsed=464.4s
completed 35/200 image_id=410366 elapsed=478.6s
completed 36/200 image_id=477136 elapsed=492.9s
completed 37/200 image_id=198119 elapsed=507.1s
completed 38/200 image_id=13176 elapsed=520.2s
completed 39/200 image_id=328298 elapsed=534.5s
completed 40/200 image_id=541332 elapsed=548.4s
completed 41/200 image_id=516986 elapsed=562.6s
completed 42/200 image_id=48937 elapsed=576.9s
completed 43/200 image_id=104564 elapsed=590.5s
completed 44/200 image_id=559277 elapsed=604.3s
completed 45/200 image_id=164234 elapsed=617.7s
completed 46/200 image_id=537286 elapsed=631.5s
completed 47/200 image_id=306952 elapsed=644.9s
completed 48/200 image_id=514945 elapsed=658.3s
completed 49/200 image_id=104485 elapsed=671.0s
completed 50/200 image_id=42156 elapsed=684.8s
completed 51/200 image_id=279024 elapsed=698.8s
completed 52/200 image_id=183217 elapsed=711.9s
completed 53/200 image_id=329535 elapsed=726.1s
completed 54/200 image_id=131764 elapsed=740.1s
completed 55/200 image_id=298747 elapsed=754.8s
completed 56/200 image_id=99405 elapsed=768.6s
completed 57/200 image_id=325545 elapsed=782.9s
completed 58/200 image_id=521872 elapsed=797.3s
completed 59/200 image_id=225129 elapsed=811.6s
completed 60/200 image_id=379443 elapsed=826.0s
completed 61/200 image_id=358796 elapsed=839.5s
completed 62/200 image_id=549830 elapsed=852.9s
completed 63/200 image_id=60145 elapsed=866.7s
completed 64/200 image_id=100343 elapsed=880.2s
completed 65/200 image_id=318330 elapsed=894.0s
completed 66/200 image_id=54679 elapsed=907.7s
completed 67/200 image_id=252000 elapsed=921.1s
completed 68/200 image_id=354261 elapsed=934.1s
completed 69/200 image_id=264155 elapsed=947.9s
completed 70/200 image_id=85247 elapsed=961.7s
completed 71/200 image_id=319451 elapsed=975.5s
completed 72/200 image_id=477066 elapsed=989.3s
completed 73/200 image_id=578892 elapsed=1002.2s
completed 74/200 image_id=347865 elapsed=1015.5s
completed 75/200 image_id=480717 elapsed=1029.3s
completed 76/200 image_id=262861 elapsed=1042.5s
completed 77/200 image_id=162547 elapsed=1056.2s
completed 78/200 image_id=307249 elapsed=1069.8s
completed 79/200 image_id=548672 elapsed=1083.7s
completed 80/200 image_id=36908 elapsed=1098.0s
completed 81/200 image_id=355746 elapsed=1111.9s
completed 82/200 image_id=44830 elapsed=1125.3s
completed 83/200 image_id=248118 elapsed=1138.7s
completed 84/200 image_id=486421 elapsed=1152.4s
completed 85/200 image_id=391046 elapsed=1165.9s
completed 86/200 image_id=298917 elapsed=1179.6s
completed 87/200 image_id=300072 elapsed=1193.4s
completed 88/200 image_id=170040 elapsed=1206.9s
completed 89/200 image_id=97211 elapsed=1220.3s
completed 90/200 image_id=248337 elapsed=1234.1s
completed 91/200 image_id=263896 elapsed=1247.6s
completed 92/200 image_id=495810 elapsed=1261.1s
completed 93/200 image_id=568516 elapsed=1275.0s
completed 94/200 image_id=385262 elapsed=1289.7s
completed 95/200 image_id=204020 elapsed=1303.5s
completed 96/200 image_id=235700 elapsed=1317.3s
completed 97/200 image_id=102822 elapsed=1331.3s
completed 98/200 image_id=563584 elapsed=1345.3s
completed 99/200 image_id=400702 elapsed=1358.3s
completed 100/200 image_id=56980 elapsed=1372.6s
completed 101/200 image_id=311667 elapsed=1386.8s
completed 102/200 image_id=357294 elapsed=1400.8s
completed 103/200 image_id=258934 elapsed=1415.1s
completed 104/200 image_id=218774 elapsed=1429.4s
completed 105/200 image_id=424485 elapsed=1443.4s
completed 106/200 image_id=313644 elapsed=1457.3s
completed 107/200 image_id=484715 elapsed=1471.2s
completed 108/200 image_id=286981 elapsed=1485.5s
completed 109/200 image_id=394529 elapsed=1499.8s
completed 110/200 image_id=577968 elapsed=1510.5s
completed 111/200 image_id=491140 elapsed=1523.6s
completed 112/200 image_id=248733 elapsed=1537.5s
completed 113/200 image_id=413277 elapsed=1550.6s
completed 114/200 image_id=154259 elapsed=1564.3s
completed 115/200 image_id=470070 elapsed=1577.8s
completed 116/200 image_id=187483 elapsed=1591.8s
completed 117/200 image_id=105293 elapsed=1604.7s
completed 118/200 image_id=387512 elapsed=1618.6s
completed 119/200 image_id=537857 elapsed=1632.9s
completed 120/200 image_id=31157 elapsed=1646.8s
completed 121/200 image_id=561988 elapsed=1660.7s
completed 122/200 image_id=566237 elapsed=1673.8s
completed 123/200 image_id=398105 elapsed=1687.7s
completed 124/200 image_id=246750 elapsed=1701.7s
completed 125/200 image_id=7159 elapsed=1715.7s
completed 126/200 image_id=90429 elapsed=1730.0s
completed 127/200 image_id=533342 elapsed=1744.0s
completed 128/200 image_id=184223 elapsed=1758.2s
completed 129/200 image_id=100855 elapsed=1772.5s
completed 130/200 image_id=572090 elapsed=1785.7s
completed 131/200 image_id=112128 elapsed=1800.0s
completed 132/200 image_id=99265 elapsed=1813.8s
completed 133/200 image_id=393428 elapsed=1827.4s
completed 134/200 image_id=2061 elapsed=1841.1s
completed 135/200 image_id=327418 elapsed=1855.0s
completed 136/200 image_id=147546 elapsed=1868.2s
completed 137/200 image_id=315025 elapsed=1881.4s
completed 138/200 image_id=151414 elapsed=1894.9s
